,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
0,Deep4Net,2fach,Trained_TUAB_test_TUAB,78.26,100,0,TUAB-R,TUAB-R
1,Deep4Net,2fach,Trained_TUAB_test_TUAB,80.07,100,1,TUAB-R,TUAB-R
2,Deep4Net,2fach,Trained_TUAB_test_TUAB,78.99,100,19022005,TUAB-R,TUAB-R
3,Deep4Net,2fach,Trained_TUAB_test_TUAB,78.99,100,20110407,TUAB-R,TUAB-R
4,Deep4Net,2fach,Trained_TUAB_test_TUAB,77.17,100,20170629,TUAB-R,TUAB-R
5,Deep4Net,2fach,Trained_TUAB_test_TUAB,78.62,100,42,TUAB-R,TUAB-R
6,Deep4Net,2fach,Trained_TUAB_test_TUAB,69.93,100,73,TUAB-R,TUAB-R
7,Deep4Net,2fach,Trained_TUAB_test_TUAB,76.45,100,5157,TUAB-R,TUAB-R
8,Deep4Net,2fach,Trained_TUAB_test_TUAB,78.62,100,15011963,TUAB-R,TUAB-R
9,Deep4Net,2fach,Trained_TUAB_test_TUAB,79.35,100,682016,TUAB-R,TUAB-R
10,Deep4Net,2fach,Trained_TUAB_test_TUAB,81.16,200,0,TUAB-R,TUAB-R
11,Deep4Net,2fach,Trained_TUAB_test_TUAB,80.43,200,1,TUAB-R,TUAB-R
12,Deep4Net,2fach,Trained_TUAB_test_TUAB,80.8,200,19022005,TUAB-R,TUAB-R
13,Deep4Net,2fach,Trained_TUAB_test_TUAB,81.16,200,20110407,TUAB-R,TUAB-R
14,Deep4Net,2fach,Trained_TUAB_test_TUAB,81.88,200,20170629,TUAB-R,TUAB-R
15,Deep4Net,2fach,Trained_TUAB_test_TUAB,80.43,200,42,TUAB-R,TUAB-R
16,Deep4Net,2fach,Trained_TUAB_test_TUAB,78.62,200,73,TUAB-R,TUAB-R
17,Deep4Net,2fach,Trained_TUAB_test_TUAB,78.62,200,5157,TUAB-R,TUAB-R
18,Deep4Net,2fach,Trained_TUAB_test_TUAB,78.26,200,15011963,TUAB-R,TUAB-R
19,Deep4Net,2fach,Trained_TUAB_test_TUAB,80.07,200,682016,TUAB-R,TUAB-R
20,Deep4Net,2fach,Trained_TUAB_test_TUAB,82.97,400,0,TUAB-R,TUAB-R
21,Deep4Net,2fach,Trained_TUAB_test_TUAB,80.8,400,1,TUAB-R,TUAB-R
22,Deep4Net,2fach,Trained_TUAB_test_TUAB,81.52,400,19022005,TUAB-R,TUAB-R
23,Deep4Net,2fach,Trained_TUAB_test_TUAB,84.42,400,20110407,TUAB-R,TUAB-R
24,Deep4Net,2fach,Trained_TUAB_test_TUAB,83.33,400,20170629,TUAB-R,TUAB-R
25,Deep4Net,2fach,Trained_TUAB_test_TUAB,80.8,400,42,TUAB-R,TUAB-R
26,Deep4Net,2fach,Trained_TUAB_test_TUAB,77.17,400,73,TUAB-R,TUAB-R
27,Deep4Net,2fach,Trained_TUAB_test_TUAB,82.61,400,5157,TUAB-R,TUAB-R
28,Deep4Net,2fach,Trained_TUAB_test_TUAB,83.33,400,15011963,TUAB-R,TUAB-R
29,Deep4Net,2fach,Trained_TUAB_test_TUAB,82.61,400,682016,TUAB-R,TUAB-R
30,Deep4Net,2fach,Trained_TUAB_test_TUAB,84.42,800,0,TUAB-R,TUAB-R
31,Deep4Net,2fach,Trained_TUAB_test_TUAB,83.33,800,1,TUAB-R,TUAB-R
32,Deep4Net,2fach,Trained_TUAB_test_TUAB,83.33,800,19022005,TUAB-R,TUAB-R
33,Deep4Net,2fach,Trained_TUAB_test_TUAB,80.43,800,20110407,TUAB-R,TUAB-R
34,Deep4Net,2fach,Trained_TUAB_test_TUAB,83.7,800,20170629,TUAB-R,TUAB-R
35,Deep4Net,2fach,Trained_TUAB_test_TUAB,83.33,800,42,TUAB-R,TUAB-R
36,Deep4Net,2fach,Trained_TUAB_test_TUAB,81.52,800,73,TUAB-R,TUAB-R
37,Deep4Net,2fach,Trained_TUAB_test_TUAB,83.7,800,5157,TUAB-R,TUAB-R
38,Deep4Net,2fach,Trained_TUAB_test_TUAB,81.88,800,15011963,TUAB-R,TUAB-R
39,Deep4Net,2fach,Trained_TUAB_test_TUAB,84.78,800,682016,TUAB-R,TUAB-R
40,Deep4Net,2fach,Trained_TUAB_test_TUAB,84.78,1600,0,TUAB-R,TUAB-R
41,Deep4Net,2fach,Trained_TUAB_test_TUAB,85.14,1600,1,TUAB-R,TUAB-R
42,Deep4Net,2fach,Trained_TUAB_test_TUAB,84.78,1600,19022005,TUAB-R,TUAB-R
43,Deep4Net,2fach,Trained_TUAB_test_TUAB,84.06,1600,20110407,TUAB-R,TUAB-R
44,Deep4Net,2fach,Trained_TUAB_test_TUAB,85.14,1600,20170629,TUAB-R,TUAB-R
45,Deep4Net,2fach,Trained_TUAB_test_TUAB,83.7,1600,42,TUAB-R,TUAB-R
46,Deep4Net,2fach,Trained_TUAB_test_TUAB,82.97,1600,73,TUAB-R,TUAB-R
47,Deep4Net,2fach,Trained_TUAB_test_TUAB,85.14,1600,5157,TUAB-R,TUAB-R
48,Deep4Net,2fach,Trained_TUAB_test_TUAB,81.88,1600,15011963,TUAB-R,TUAB-R
49,Deep4Net,2fach,Trained_TUAB_test_TUAB,84.42,1600,682016,TUAB-R,TUAB-R
50,Deep4Net,2fach,Trained_TUAB_test_TUAB,86.23,2717,0,TUAB-R,TUAB-R
51,Deep4Net,2fach,Trained_TUAB_test_TUAB,84.06,2717,1,TUAB-R,TUAB-R
52,Deep4Net,2fach,Trained_TUAB_test_TUAB,84.78,2717,19022005,TUAB-R,TUAB-R
53,Deep4Net,2fach,Trained_TUAB_test_TUAB,85.51,2717,20110407,TUAB-R,TUAB-R
54,Deep4Net,2fach,Trained_TUAB_test_TUAB,85.14,2717,20170629,TUAB-R,TUAB-R
55,Deep4Net,2fach,Trained_TUAB_test_TUAB,80.43,2717,42,TUAB-R,TUAB-R
56,Deep4Net,2fach,Trained_TUAB_test_TUAB,83.7,2717,73,TUAB-R,TUAB-R
57,Deep4Net,2fach,Trained_TUAB_test_TUAB,85.14,2717,5157,TUAB-R,TUAB-R
58,Deep4Net,2fach,Trained_TUAB_test_TUAB,85.87,2717,15011963,TUAB-R,TUAB-R
59,Deep4Net,2fach,Trained_TUAB_test_TUAB,84.78,2717,682016,TUAB-R,TUAB-R
