,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
0,EEGNet,1fach,Trained_TUAB_test_TUAB,65.22,100,0,TUAB-R,TUAB-R
1,EEGNet,1fach,Trained_TUAB_test_TUAB,81.16,100,1,TUAB-R,TUAB-R
2,EEGNet,1fach,Trained_TUAB_test_TUAB,80.8,100,19022005,TUAB-R,TUAB-R
3,EEGNet,1fach,Trained_TUAB_test_TUAB,82.97,100,20110407,TUAB-R,TUAB-R
4,EEGNet,1fach,Trained_TUAB_test_TUAB,78.99,100,20170629,TUAB-R,TUAB-R
5,EEGNet,1fach,Trained_TUAB_test_TUAB,81.16,100,42,TUAB-R,TUAB-R
6,EEGNet,1fach,Trained_TUAB_test_TUAB,78.62,100,73,TUAB-R,TUAB-R
7,EEGNet,1fach,Trained_TUAB_test_TUAB,81.16,100,5157,TUAB-R,TUAB-R
8,EEGNet,1fach,Trained_TUAB_test_TUAB,81.88,100,15011963,TUAB-R,TUAB-R
9,EEGNet,1fach,Trained_TUAB_test_TUAB,76.45,100,682016,TUAB-R,TUAB-R
10,EEGNet,1fach,Trained_TUAB_test_TUAB,70.29,200,0,TUAB-R,TUAB-R
11,EEGNet,1fach,Trained_TUAB_test_TUAB,82.25,200,1,TUAB-R,TUAB-R
12,EEGNet,1fach,Trained_TUAB_test_TUAB,79.71,200,19022005,TUAB-R,TUAB-R
13,EEGNet,1fach,Trained_TUAB_test_TUAB,82.61,200,20110407,TUAB-R,TUAB-R
14,EEGNet,1fach,Trained_TUAB_test_TUAB,83.7,200,20170629,TUAB-R,TUAB-R
15,EEGNet,1fach,Trained_TUAB_test_TUAB,82.25,200,42,TUAB-R,TUAB-R
16,EEGNet,1fach,Trained_TUAB_test_TUAB,77.54,200,73,TUAB-R,TUAB-R
17,EEGNet,1fach,Trained_TUAB_test_TUAB,81.52,200,5157,TUAB-R,TUAB-R
18,EEGNet,1fach,Trained_TUAB_test_TUAB,85.51,200,15011963,TUAB-R,TUAB-R
19,EEGNet,1fach,Trained_TUAB_test_TUAB,81.16,200,682016,TUAB-R,TUAB-R
20,EEGNet,1fach,Trained_TUAB_test_TUAB,81.52,400,0,TUAB-R,TUAB-R
21,EEGNet,1fach,Trained_TUAB_test_TUAB,83.7,400,1,TUAB-R,TUAB-R
22,EEGNet,1fach,Trained_TUAB_test_TUAB,82.61,400,19022005,TUAB-R,TUAB-R
23,EEGNet,1fach,Trained_TUAB_test_TUAB,81.88,400,20110407,TUAB-R,TUAB-R
24,EEGNet,1fach,Trained_TUAB_test_TUAB,86.23,400,20170629,TUAB-R,TUAB-R
25,EEGNet,1fach,Trained_TUAB_test_TUAB,82.25,400,42,TUAB-R,TUAB-R
26,EEGNet,1fach,Trained_TUAB_test_TUAB,82.97,400,73,TUAB-R,TUAB-R
27,EEGNet,1fach,Trained_TUAB_test_TUAB,82.61,400,5157,TUAB-R,TUAB-R
28,EEGNet,1fach,Trained_TUAB_test_TUAB,81.88,400,15011963,TUAB-R,TUAB-R
29,EEGNet,1fach,Trained_TUAB_test_TUAB,84.06,400,682016,TUAB-R,TUAB-R
30,EEGNet,1fach,Trained_TUAB_test_TUAB,83.33,800,0,TUAB-R,TUAB-R
31,EEGNet,1fach,Trained_TUAB_test_TUAB,83.33,800,1,TUAB-R,TUAB-R
32,EEGNet,1fach,Trained_TUAB_test_TUAB,84.06,800,19022005,TUAB-R,TUAB-R
33,EEGNet,1fach,Trained_TUAB_test_TUAB,85.14,800,20110407,TUAB-R,TUAB-R
34,EEGNet,1fach,Trained_TUAB_test_TUAB,83.7,800,20170629,TUAB-R,TUAB-R
35,EEGNet,1fach,Trained_TUAB_test_TUAB,83.33,800,42,TUAB-R,TUAB-R
36,EEGNet,1fach,Trained_TUAB_test_TUAB,81.88,800,73,TUAB-R,TUAB-R
37,EEGNet,1fach,Trained_TUAB_test_TUAB,83.33,800,5157,TUAB-R,TUAB-R
38,EEGNet,1fach,Trained_TUAB_test_TUAB,86.23,800,15011963,TUAB-R,TUAB-R
39,EEGNet,1fach,Trained_TUAB_test_TUAB,84.06,800,682016,TUAB-R,TUAB-R
40,EEGNet,1fach,Trained_TUAB_test_TUAB,83.7,1600,0,TUAB-R,TUAB-R
41,EEGNet,1fach,Trained_TUAB_test_TUAB,83.33,1600,1,TUAB-R,TUAB-R
42,EEGNet,1fach,Trained_TUAB_test_TUAB,83.33,1600,19022005,TUAB-R,TUAB-R
43,EEGNet,1fach,Trained_TUAB_test_TUAB,84.06,1600,20110407,TUAB-R,TUAB-R
44,EEGNet,1fach,Trained_TUAB_test_TUAB,85.14,1600,20170629,TUAB-R,TUAB-R
45,EEGNet,1fach,Trained_TUAB_test_TUAB,84.06,1600,42,TUAB-R,TUAB-R
46,EEGNet,1fach,Trained_TUAB_test_TUAB,82.97,1600,73,TUAB-R,TUAB-R
47,EEGNet,1fach,Trained_TUAB_test_TUAB,82.97,1600,5157,TUAB-R,TUAB-R
48,EEGNet,1fach,Trained_TUAB_test_TUAB,85.14,1600,15011963,TUAB-R,TUAB-R
49,EEGNet,1fach,Trained_TUAB_test_TUAB,82.25,1600,682016,TUAB-R,TUAB-R
50,EEGNet,1fach,Trained_TUAB_test_TUAB,85.14,2717,0,TUAB-R,TUAB-R
51,EEGNet,1fach,Trained_TUAB_test_TUAB,84.42,2717,1,TUAB-R,TUAB-R
52,EEGNet,1fach,Trained_TUAB_test_TUAB,85.51,2717,19022005,TUAB-R,TUAB-R
53,EEGNet,1fach,Trained_TUAB_test_TUAB,84.78,2717,20110407,TUAB-R,TUAB-R
54,EEGNet,1fach,Trained_TUAB_test_TUAB,85.87,2717,20170629,TUAB-R,TUAB-R
55,EEGNet,1fach,Trained_TUAB_test_TUAB,86.23,2717,42,TUAB-R,TUAB-R
56,EEGNet,1fach,Trained_TUAB_test_TUAB,82.97,2717,73,TUAB-R,TUAB-R
57,EEGNet,1fach,Trained_TUAB_test_TUAB,82.25,2717,5157,TUAB-R,TUAB-R
58,EEGNet,1fach,Trained_TUAB_test_TUAB,85.14,2717,15011963,TUAB-R,TUAB-R
59,EEGNet,1fach,Trained_TUAB_test_TUAB,84.42,2717,682016,TUAB-R,TUAB-R
