,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
0,Shallow,1fach,Trained_TUAB_test_TUAB,79.71,100,0,TUAB-R,TUAB-R
1,Shallow,1fach,Trained_TUAB_test_TUAB,79.71,100,1,TUAB-R,TUAB-R
2,Shallow,1fach,Trained_TUAB_test_TUAB,82.61,100,19022005,TUAB-R,TUAB-R
3,Shallow,1fach,Trained_TUAB_test_TUAB,80.8,100,20110407,TUAB-R,TUAB-R
4,Shallow,1fach,Trained_TUAB_test_TUAB,80.07,100,20170629,TUAB-R,TUAB-R
5,Shallow,1fach,Trained_TUAB_test_TUAB,80.07,100,42,TUAB-R,TUAB-R
6,Shallow,1fach,Trained_TUAB_test_TUAB,74.64,100,73,TUAB-R,TUAB-R
7,Shallow,1fach,Trained_TUAB_test_TUAB,75.0,100,5157,TUAB-R,TUAB-R
8,Shallow,1fach,Trained_TUAB_test_TUAB,82.97,100,15011963,TUAB-R,TUAB-R
9,Shallow,1fach,Trained_TUAB_test_TUAB,76.09,100,682016,TUAB-R,TUAB-R
10,Shallow,1fach,Trained_TUAB_test_TUAB,83.33,200,0,TUAB-R,TUAB-R
11,Shallow,1fach,Trained_TUAB_test_TUAB,79.35,200,1,TUAB-R,TUAB-R
12,Shallow,1fach,Trained_TUAB_test_TUAB,81.88,200,19022005,TUAB-R,TUAB-R
13,Shallow,1fach,Trained_TUAB_test_TUAB,80.8,200,20110407,TUAB-R,TUAB-R
14,Shallow,1fach,Trained_TUAB_test_TUAB,82.97,200,20170629,TUAB-R,TUAB-R
15,Shallow,1fach,Trained_TUAB_test_TUAB,80.07,200,42,TUAB-R,TUAB-R
16,Shallow,1fach,Trained_TUAB_test_TUAB,78.62,200,73,TUAB-R,TUAB-R
17,Shallow,1fach,Trained_TUAB_test_TUAB,81.52,200,5157,TUAB-R,TUAB-R
18,Shallow,1fach,Trained_TUAB_test_TUAB,86.96,200,15011963,TUAB-R,TUAB-R
19,Shallow,1fach,Trained_TUAB_test_TUAB,80.8,200,682016,TUAB-R,TUAB-R
20,Shallow,1fach,Trained_TUAB_test_TUAB,82.25,400,0,TUAB-R,TUAB-R
21,Shallow,1fach,Trained_TUAB_test_TUAB,82.97,400,1,TUAB-R,TUAB-R
22,Shallow,1fach,Trained_TUAB_test_TUAB,83.33,400,19022005,TUAB-R,TUAB-R
23,Shallow,1fach,Trained_TUAB_test_TUAB,83.33,400,20110407,TUAB-R,TUAB-R
24,Shallow,1fach,Trained_TUAB_test_TUAB,84.42,400,20170629,TUAB-R,TUAB-R
25,Shallow,1fach,Trained_TUAB_test_TUAB,81.88,400,42,TUAB-R,TUAB-R
26,Shallow,1fach,Trained_TUAB_test_TUAB,82.97,400,73,TUAB-R,TUAB-R
27,Shallow,1fach,Trained_TUAB_test_TUAB,82.25,400,5157,TUAB-R,TUAB-R
28,Shallow,1fach,Trained_TUAB_test_TUAB,85.87,400,15011963,TUAB-R,TUAB-R
29,Shallow,1fach,Trained_TUAB_test_TUAB,82.25,400,682016,TUAB-R,TUAB-R
30,Shallow,1fach,Trained_TUAB_test_TUAB,85.14,800,0,TUAB-R,TUAB-R
