,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
0,TCN,1fach,Trained_TUAB_test_TUAB,79.71,100,0,TUAB-R,TUAB-R
1,TCN,1fach,Trained_TUAB_test_TUAB,80.8,100,1,TUAB-R,TUAB-R
2,TCN,1fach,Trained_TUAB_test_TUAB,83.33,100,19022005,TUAB-R,TUAB-R
3,TCN,1fach,Trained_TUAB_test_TUAB,80.07,100,20110407,TUAB-R,TUAB-R
4,TCN,1fach,Trained_TUAB_test_TUAB,78.26,100,20170629,TUAB-R,TUAB-R
5,TCN,1fach,Trained_TUAB_test_TUAB,81.52,100,42,TUAB-R,TUAB-R
6,TCN,1fach,Trained_TUAB_test_TUAB,75.36,100,73,TUAB-R,TUAB-R
7,TCN,1fach,Trained_TUAB_test_TUAB,77.54,100,5157,TUAB-R,TUAB-R
8,TCN,1fach,Trained_TUAB_test_TUAB,79.35,100,15011963,TUAB-R,TUAB-R
9,TCN,1fach,Trained_TUAB_test_TUAB,75.0,100,682016,TUAB-R,TUAB-R
10,TCN,1fach,Trained_TUAB_test_TUAB,80.8,200,0,TUAB-R,TUAB-R
11,TCN,1fach,Trained_TUAB_test_TUAB,81.88,200,1,TUAB-R,TUAB-R
12,TCN,1fach,Trained_TUAB_test_TUAB,81.88,200,19022005,TUAB-R,TUAB-R
13,TCN,1fach,Trained_TUAB_test_TUAB,81.52,200,20110407,TUAB-R,TUAB-R
14,TCN,1fach,Trained_TUAB_test_TUAB,81.52,200,20170629,TUAB-R,TUAB-R
15,TCN,1fach,Trained_TUAB_test_TUAB,83.33,200,42,TUAB-R,TUAB-R
16,TCN,1fach,Trained_TUAB_test_TUAB,80.8,200,73,TUAB-R,TUAB-R
17,TCN,1fach,Trained_TUAB_test_TUAB,81.52,200,5157,TUAB-R,TUAB-R
18,TCN,1fach,Trained_TUAB_test_TUAB,82.97,200,15011963,TUAB-R,TUAB-R
19,TCN,1fach,Trained_TUAB_test_TUAB,80.43,200,682016,TUAB-R,TUAB-R
20,TCN,1fach,Trained_TUAB_test_TUAB,79.71,400,0,TUAB-R,TUAB-R
21,TCN,1fach,Trained_TUAB_test_TUAB,81.52,400,1,TUAB-R,TUAB-R
22,TCN,1fach,Trained_TUAB_test_TUAB,83.7,400,19022005,TUAB-R,TUAB-R
23,TCN,1fach,Trained_TUAB_test_TUAB,84.06,400,20110407,TUAB-R,TUAB-R
24,TCN,1fach,Trained_TUAB_test_TUAB,84.42,400,20170629,TUAB-R,TUAB-R
25,TCN,1fach,Trained_TUAB_test_TUAB,83.33,400,42,TUAB-R,TUAB-R
26,TCN,1fach,Trained_TUAB_test_TUAB,83.33,400,73,TUAB-R,TUAB-R
27,TCN,1fach,Trained_TUAB_test_TUAB,84.78,400,5157,TUAB-R,TUAB-R
28,TCN,1fach,Trained_TUAB_test_TUAB,82.97,400,15011963,TUAB-R,TUAB-R
29,TCN,1fach,Trained_TUAB_test_TUAB,84.42,400,682016,TUAB-R,TUAB-R
30,TCN,1fach,Trained_TUAB_test_TUAB,82.97,800,0,TUAB-R,TUAB-R
31,TCN,1fach,Trained_TUAB_test_TUAB,83.33,800,1,TUAB-R,TUAB-R
32,TCN,1fach,Trained_TUAB_test_TUAB,85.14,800,19022005,TUAB-R,TUAB-R
33,TCN,1fach,Trained_TUAB_test_TUAB,82.61,800,20110407,TUAB-R,TUAB-R
34,TCN,1fach,Trained_TUAB_test_TUAB,85.14,800,20170629,TUAB-R,TUAB-R
35,TCN,1fach,Trained_TUAB_test_TUAB,83.33,800,42,TUAB-R,TUAB-R
36,TCN,1fach,Trained_TUAB_test_TUAB,83.33,800,73,TUAB-R,TUAB-R
37,TCN,1fach,Trained_TUAB_test_TUAB,84.06,800,5157,TUAB-R,TUAB-R
38,TCN,1fach,Trained_TUAB_test_TUAB,84.42,800,15011963,TUAB-R,TUAB-R
39,TCN,1fach,Trained_TUAB_test_TUAB,84.42,800,682016,TUAB-R,TUAB-R
40,TCN,1fach,Trained_TUAB_test_TUAB,84.06,1600,0,TUAB-R,TUAB-R
41,TCN,1fach,Trained_TUAB_test_TUAB,85.87,1600,1,TUAB-R,TUAB-R
42,TCN,1fach,Trained_TUAB_test_TUAB,87.32,1600,19022005,TUAB-R,TUAB-R
43,TCN,1fach,Trained_TUAB_test_TUAB,84.78,1600,20110407,TUAB-R,TUAB-R
44,TCN,1fach,Trained_TUAB_test_TUAB,85.51,1600,20170629,TUAB-R,TUAB-R
45,TCN,1fach,Trained_TUAB_test_TUAB,85.51,1600,42,TUAB-R,TUAB-R
46,TCN,1fach,Trained_TUAB_test_TUAB,86.59,1600,73,TUAB-R,TUAB-R
47,TCN,1fach,Trained_TUAB_test_TUAB,83.33,1600,5157,TUAB-R,TUAB-R
48,TCN,1fach,Trained_TUAB_test_TUAB,86.23,1600,15011963,TUAB-R,TUAB-R
49,TCN,1fach,Trained_TUAB_test_TUAB,85.14,1600,682016,TUAB-R,TUAB-R
50,TCN,1fach,Trained_TUAB_test_TUAB,85.51,2717,0,TUAB-R,TUAB-R
51,TCN,1fach,Trained_TUAB_test_TUAB,85.87,2717,1,TUAB-R,TUAB-R
52,TCN,1fach,Trained_TUAB_test_TUAB,85.87,2717,19022005,TUAB-R,TUAB-R
53,TCN,1fach,Trained_TUAB_test_TUAB,86.23,2717,20110407,TUAB-R,TUAB-R
54,TCN,1fach,Trained_TUAB_test_TUAB,86.23,2717,20170629,TUAB-R,TUAB-R
55,TCN,1fach,Trained_TUAB_test_TUAB,85.14,2717,42,TUAB-R,TUAB-R
56,TCN,1fach,Trained_TUAB_test_TUAB,86.23,2717,73,TUAB-R,TUAB-R
57,TCN,1fach,Trained_TUAB_test_TUAB,85.14,2717,5157,TUAB-R,TUAB-R
58,TCN,1fach,Trained_TUAB_test_TUAB,85.87,2717,15011963,TUAB-R,TUAB-R
59,TCN,1fach,Trained_TUAB_test_TUAB,85.14,2717,682016,TUAB-R,TUAB-R
