,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
0,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,68.17,100,0,TUABEXB-R,TUABEXB-R
1,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,57.14,100,1,TUABEXB-R,TUABEXB-R
2,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,65.69,100,19022005,TUABEXB-R,TUABEXB-R
3,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,71.09,100,20110407,TUABEXB-R,TUABEXB-R
4,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,72.1,100,20170629,TUABEXB-R,TUABEXB-R
5,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,71.2,100,42,TUABEXB-R,TUABEXB-R
6,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,66.82,100,73,TUABEXB-R,TUABEXB-R
7,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,62.54,100,5157,TUABEXB-R,TUABEXB-R
8,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,70.42,100,15011963,TUABEXB-R,TUABEXB-R
9,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,70.98,100,682016,TUABEXB-R,TUABEXB-R
10,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,75.25,200,0,TUABEXB-R,TUABEXB-R
11,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,74.13,200,1,TUABEXB-R,TUABEXB-R
12,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,75.93,200,19022005,TUABEXB-R,TUABEXB-R
13,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,71.09,200,20110407,TUABEXB-R,TUABEXB-R
14,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,72.67,200,20170629,TUABEXB-R,TUABEXB-R
15,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,75.37,200,42,TUABEXB-R,TUABEXB-R
16,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,74.8,200,73,TUABEXB-R,TUABEXB-R
17,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,67.38,200,5157,TUABEXB-R,TUABEXB-R
18,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,74.35,200,15011963,TUABEXB-R,TUABEXB-R
19,Deep4Net_13filter,0.25fach,Trained_TUABEXB_test_TUABEXB,74.8,200,682016,TUABEXB-R,TUABEXB-R
