,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
0,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,70.08,100,0,TUABEXB-R,TUABEXB-R
1,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,67.6,100,1,TUABEXB-R,TUABEXB-R
2,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,68.28,100,19022005,TUABEXB-R,TUABEXB-R
3,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,70.3,100,20110407,TUABEXB-R,TUABEXB-R
4,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,68.5,100,20170629,TUABEXB-R,TUABEXB-R
5,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,69.52,100,42,TUABEXB-R,TUABEXB-R
6,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,67.83,100,73,TUABEXB-R,TUABEXB-R
7,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,65.92,100,5157,TUABEXB-R,TUABEXB-R
8,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,65.69,100,15011963,TUABEXB-R,TUABEXB-R
9,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,70.87,100,682016,TUABEXB-R,TUABEXB-R
10,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,74.35,200,0,TUABEXB-R,TUABEXB-R
11,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,71.77,200,1,TUABEXB-R,TUABEXB-R
12,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,75.48,200,19022005,TUABEXB-R,TUABEXB-R
13,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,72.1,200,20110407,TUABEXB-R,TUABEXB-R
14,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,75.14,200,20170629,TUABEXB-R,TUABEXB-R
15,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,73.45,200,42,TUABEXB-R,TUABEXB-R
16,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,73.45,200,73,TUABEXB-R,TUABEXB-R
17,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,71.65,200,5157,TUABEXB-R,TUABEXB-R
18,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,69.29,200,15011963,TUABEXB-R,TUABEXB-R
19,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,73.79,200,682016,TUABEXB-R,TUABEXB-R
20,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,77.5,400,0,TUABEXB-R,TUABEXB-R
21,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,76.49,400,1,TUABEXB-R,TUABEXB-R
22,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,75.59,400,19022005,TUABEXB-R,TUABEXB-R
23,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,74.8,400,20110407,TUABEXB-R,TUABEXB-R
24,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,76.38,400,20170629,TUABEXB-R,TUABEXB-R
25,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,75.82,400,42,TUABEXB-R,TUABEXB-R
26,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,76.15,400,73,TUABEXB-R,TUABEXB-R
27,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,74.8,400,5157,TUABEXB-R,TUABEXB-R
28,EEGNet_15filter,2fach,Trained_TUABEXB_test_TUABEXB,74.8,400,15011963,TUABEXB-R,TUABEXB-R
