,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
0,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,67.15,100,0,TUABEXB-R,TUABEXB-R
1,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,53.43,100,1,TUABEXB-R,TUABEXB-R
2,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,62.88,100,19022005,TUABEXB-R,TUABEXB-R
3,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,65.69,100,20110407,TUABEXB-R,TUABEXB-R
4,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,67.72,100,20170629,TUABEXB-R,TUABEXB-R
5,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,66.7,100,42,TUABEXB-R,TUABEXB-R
6,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,62.32,100,73,TUABEXB-R,TUABEXB-R
7,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,64.23,100,5157,TUABEXB-R,TUABEXB-R
8,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,51.97,100,15011963,TUABEXB-R,TUABEXB-R
9,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,51.74,100,682016,TUABEXB-R,TUABEXB-R
10,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,75.93,200,0,TUABEXB-R,TUABEXB-R
11,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,73.79,200,1,TUABEXB-R,TUABEXB-R
12,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,66.25,200,19022005,TUABEXB-R,TUABEXB-R
13,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,70.64,200,20110407,TUABEXB-R,TUABEXB-R
14,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,73.45,200,20170629,TUABEXB-R,TUABEXB-R
15,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,68.5,200,42,TUABEXB-R,TUABEXB-R
16,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,71.77,200,73,TUABEXB-R,TUABEXB-R
17,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,70.87,200,5157,TUABEXB-R,TUABEXB-R
18,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,67.72,200,15011963,TUABEXB-R,TUABEXB-R
19,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,70.64,200,682016,TUABEXB-R,TUABEXB-R
20,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,76.38,400,0,TUABEXB-R,TUABEXB-R
21,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,78.29,400,1,TUABEXB-R,TUABEXB-R
22,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,73.34,400,19022005,TUABEXB-R,TUABEXB-R
23,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,77.39,400,20110407,TUABEXB-R,TUABEXB-R
24,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,77.39,400,20170629,TUABEXB-R,TUABEXB-R
25,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,72.55,400,42,TUABEXB-R,TUABEXB-R
26,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,75.93,400,73,TUABEXB-R,TUABEXB-R
27,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,74.47,400,5157,TUABEXB-R,TUABEXB-R
28,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,74.47,400,15011963,TUABEXB-R,TUABEXB-R
29,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,73.34,400,682016,TUABEXB-R,TUABEXB-R
30,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,76.6,800,0,TUABEXB-R,TUABEXB-R
31,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,75.14,800,1,TUABEXB-R,TUABEXB-R
32,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,73.57,800,19022005,TUABEXB-R,TUABEXB-R
33,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,78.52,800,20110407,TUABEXB-R,TUABEXB-R
34,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,77.5,800,20170629,TUABEXB-R,TUABEXB-R
35,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,79.98,800,42,TUABEXB-R,TUABEXB-R
36,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,78.29,800,73,TUABEXB-R,TUABEXB-R
37,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,78.07,800,5157,TUABEXB-R,TUABEXB-R
38,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,79.98,800,15011963,TUABEXB-R,TUABEXB-R
39,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,76.72,800,682016,TUABEXB-R,TUABEXB-R
40,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,61.08,1600,0,TUABEXB-R,TUABEXB-R
41,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,81.55,1600,1,TUABEXB-R,TUABEXB-R
42,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,78.07,1600,19022005,TUABEXB-R,TUABEXB-R
43,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,78.63,1600,20110407,TUABEXB-R,TUABEXB-R
44,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,79.98,1600,20170629,TUABEXB-R,TUABEXB-R
45,EEGNet_3filter,0.25fach,Trained_TUABEXB_test_TUABEXB,79.08,1600,42,TUABEXB-R,TUABEXB-R
