,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
0,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,62.88,100,0,TUABEXB-R,TUABEXB-R
1,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,60.29,100,1,TUABEXB-R,TUABEXB-R
2,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,62.43,100,19022005,TUABEXB-R,TUABEXB-R
3,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,61.64,100,20110407,TUABEXB-R,TUABEXB-R
4,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,62.32,100,20170629,TUABEXB-R,TUABEXB-R
5,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,62.32,100,42,TUABEXB-R,TUABEXB-R
6,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,62.32,100,73,TUABEXB-R,TUABEXB-R
7,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,62.32,100,5157,TUABEXB-R,TUABEXB-R
8,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,60.97,100,15011963,TUABEXB-R,TUABEXB-R
9,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,62.65,100,682016,TUABEXB-R,TUABEXB-R
10,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,68.17,200,0,TUABEXB-R,TUABEXB-R
11,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,67.27,200,1,TUABEXB-R,TUABEXB-R
12,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,66.03,200,19022005,TUABEXB-R,TUABEXB-R
13,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,64.79,200,20110407,TUABEXB-R,TUABEXB-R
14,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,64.45,200,20170629,TUABEXB-R,TUABEXB-R
15,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,68.84,200,42,TUABEXB-R,TUABEXB-R
16,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,69.97,200,73,TUABEXB-R,TUABEXB-R
17,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,65.13,200,5157,TUABEXB-R,TUABEXB-R
18,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,67.27,200,15011963,TUABEXB-R,TUABEXB-R
19,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,67.04,200,682016,TUABEXB-R,TUABEXB-R
20,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,69.63,400,0,TUABEXB-R,TUABEXB-R
21,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,68.28,400,1,TUABEXB-R,TUABEXB-R
22,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,68.73,400,19022005,TUABEXB-R,TUABEXB-R
23,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,70.75,400,20110407,TUABEXB-R,TUABEXB-R
24,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,70.3,400,20170629,TUABEXB-R,TUABEXB-R
25,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,71.65,400,42,TUABEXB-R,TUABEXB-R
26,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,70.53,400,73,TUABEXB-R,TUABEXB-R
27,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,70.75,400,5157,TUABEXB-R,TUABEXB-R
28,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,72.89,400,15011963,TUABEXB-R,TUABEXB-R
29,TCN_27filter,0.25fach,Trained_TUABEXB_test_TUABEXB,70.64,400,682016,TUABEXB-R,TUABEXB-R
