,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
0,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,61.98,100,0,TUABEXB-R,TUABEXB-R
1,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,61.64,100,1,TUABEXB-R,TUABEXB-R
2,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,63.22,100,19022005,TUABEXB-R,TUABEXB-R
3,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,60.97,100,20110407,TUABEXB-R,TUABEXB-R
4,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,61.3,100,20170629,TUABEXB-R,TUABEXB-R
5,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,60.63,100,42,TUABEXB-R,TUABEXB-R
6,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,62.77,100,73,TUABEXB-R,TUABEXB-R
7,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,62.32,100,5157,TUABEXB-R,TUABEXB-R
8,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,60.63,100,15011963,TUABEXB-R,TUABEXB-R
9,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,61.64,100,682016,TUABEXB-R,TUABEXB-R
10,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,65.47,200,0,TUABEXB-R,TUABEXB-R
11,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,67.72,200,1,TUABEXB-R,TUABEXB-R
12,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,64.23,200,19022005,TUABEXB-R,TUABEXB-R
13,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,63.67,200,20110407,TUABEXB-R,TUABEXB-R
14,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,64.34,200,20170629,TUABEXB-R,TUABEXB-R
15,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,69.29,200,42,TUABEXB-R,TUABEXB-R
16,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,67.49,200,73,TUABEXB-R,TUABEXB-R
17,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,66.37,200,5157,TUABEXB-R,TUABEXB-R
18,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,65.35,200,15011963,TUABEXB-R,TUABEXB-R
19,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,64.45,200,682016,TUABEXB-R,TUABEXB-R
20,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,67.94,400,0,TUABEXB-R,TUABEXB-R
21,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,68.73,400,1,TUABEXB-R,TUABEXB-R
22,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,69.63,400,19022005,TUABEXB-R,TUABEXB-R
23,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,68.39,400,20110407,TUABEXB-R,TUABEXB-R
24,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,69.97,400,20170629,TUABEXB-R,TUABEXB-R
25,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,70.19,400,42,TUABEXB-R,TUABEXB-R
26,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,69.63,400,73,TUABEXB-R,TUABEXB-R
27,TCN_39filter,0.5fach,Trained_TUABEXB_test_TUABEXB,67.49,400,5157,TUABEXB-R,TUABEXB-R
