,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
0,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,68.5,100,0,TUABEXB-R,TUABEXB-R
1,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,65.8,100,1,TUABEXB-R,TUABEXB-R
2,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,69.85,100,19022005,TUABEXB-R,TUABEXB-R
3,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,61.3,100,20110407,TUABEXB-R,TUABEXB-R
4,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,69.4,100,20170629,TUABEXB-R,TUABEXB-R
5,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,70.19,100,42,TUABEXB-R,TUABEXB-R
6,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,68.62,100,73,TUABEXB-R,TUABEXB-R
7,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,64.9,100,5157,TUABEXB-R,TUABEXB-R
8,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,65.02,100,15011963,TUABEXB-R,TUABEXB-R
9,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,67.27,100,682016,TUABEXB-R,TUABEXB-R
10,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,74.47,200,0,TUABEXB-R,TUABEXB-R
11,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,69.18,200,1,TUABEXB-R,TUABEXB-R
12,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,73.9,200,19022005,TUABEXB-R,TUABEXB-R
13,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,72.55,200,20110407,TUABEXB-R,TUABEXB-R
14,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,76.38,200,20170629,TUABEXB-R,TUABEXB-R
15,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,71.88,200,42,TUABEXB-R,TUABEXB-R
16,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,74.13,200,73,TUABEXB-R,TUABEXB-R
17,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,72.55,200,5157,TUABEXB-R,TUABEXB-R
18,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,71.77,200,15011963,TUABEXB-R,TUABEXB-R
19,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,69.85,200,682016,TUABEXB-R,TUABEXB-R
20,EEGNet,1fach,Trained_TUABEXB_test_TUABEXB,77.95,400,0,TUABEXB-R,TUABEXB-R
