,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
0,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,72.67,100,0,TUABEXB-R,TUABEXB-R
1,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,72.44,100,1,TUABEXB-R,TUABEXB-R
2,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,73.23,100,19022005,TUABEXB-R,TUABEXB-R
3,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,70.3,100,20110407,TUABEXB-R,TUABEXB-R
4,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,75.14,100,20170629,TUABEXB-R,TUABEXB-R
5,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,73.79,100,42,TUABEXB-R,TUABEXB-R
6,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,72.67,100,73,TUABEXB-R,TUABEXB-R
7,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,72.22,100,5157,TUABEXB-R,TUABEXB-R
8,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,68.5,100,15011963,TUABEXB-R,TUABEXB-R
9,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,76.04,100,682016,TUABEXB-R,TUABEXB-R
10,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,76.15,200,0,TUABEXB-R,TUABEXB-R
11,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,76.6,200,1,TUABEXB-R,TUABEXB-R
12,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,76.27,200,19022005,TUABEXB-R,TUABEXB-R
13,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,73.45,200,20110407,TUABEXB-R,TUABEXB-R
14,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,75.14,200,20170629,TUABEXB-R,TUABEXB-R
15,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,78.29,200,42,TUABEXB-R,TUABEXB-R
16,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,77.05,200,73,TUABEXB-R,TUABEXB-R
17,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,74.8,200,5157,TUABEXB-R,TUABEXB-R
18,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,75.48,200,15011963,TUABEXB-R,TUABEXB-R
19,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,77.17,200,682016,TUABEXB-R,TUABEXB-R
20,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,79.3,400,0,TUABEXB-R,TUABEXB-R
21,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,79.42,400,1,TUABEXB-R,TUABEXB-R
22,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,78.52,400,19022005,TUABEXB-R,TUABEXB-R
23,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,76.27,400,20110407,TUABEXB-R,TUABEXB-R
24,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,78.07,400,20170629,TUABEXB-R,TUABEXB-R
25,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,79.3,400,42,TUABEXB-R,TUABEXB-R
26,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,78.07,400,73,TUABEXB-R,TUABEXB-R
27,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,77.95,400,5157,TUABEXB-R,TUABEXB-R
28,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,80.09,400,15011963,TUABEXB-R,TUABEXB-R
29,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,80.09,400,682016,TUABEXB-R,TUABEXB-R
30,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,81.55,800,0,TUABEXB-R,TUABEXB-R
31,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,81.21,800,1,TUABEXB-R,TUABEXB-R
32,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,79.3,800,19022005,TUABEXB-R,TUABEXB-R
33,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,80.2,800,20110407,TUABEXB-R,TUABEXB-R
34,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,79.75,800,20170629,TUABEXB-R,TUABEXB-R
35,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,79.87,800,42,TUABEXB-R,TUABEXB-R
36,Shallow,1fach,Trained_TUABEXB_test_TUABEXB,80.76,800,73,TUABEXB-R,TUABEXB-R
