,model,modelsize,task_name,accuracy,size_trainset,seed,trainset,testset
0,TCN,1fach,Trained_TUABEXB_test_TUABEXB,61.42,100,0,TUABEXB-R,TUABEXB-R
1,TCN,1fach,Trained_TUABEXB_test_TUABEXB,60.4,100,1,TUABEXB-R,TUABEXB-R
2,TCN,1fach,Trained_TUABEXB_test_TUABEXB,60.52,100,19022005,TUABEXB-R,TUABEXB-R
3,TCN,1fach,Trained_TUABEXB_test_TUABEXB,60.4,100,20110407,TUABEXB-R,TUABEXB-R
4,TCN,1fach,Trained_TUABEXB_test_TUABEXB,59.51,100,20170629,TUABEXB-R,TUABEXB-R
5,TCN,1fach,Trained_TUABEXB_test_TUABEXB,61.3,100,42,TUABEXB-R,TUABEXB-R
6,TCN,1fach,Trained_TUABEXB_test_TUABEXB,60.07,100,73,TUABEXB-R,TUABEXB-R
7,TCN,1fach,Trained_TUABEXB_test_TUABEXB,62.32,100,5157,TUABEXB-R,TUABEXB-R
8,TCN,1fach,Trained_TUABEXB_test_TUABEXB,58.94,100,15011963,TUABEXB-R,TUABEXB-R
9,TCN,1fach,Trained_TUABEXB_test_TUABEXB,59.62,100,682016,TUABEXB-R,TUABEXB-R
10,TCN,1fach,Trained_TUABEXB_test_TUABEXB,65.35,200,0,TUABEXB-R,TUABEXB-R
11,TCN,1fach,Trained_TUABEXB_test_TUABEXB,65.69,200,1,TUABEXB-R,TUABEXB-R
12,TCN,1fach,Trained_TUABEXB_test_TUABEXB,64.68,200,19022005,TUABEXB-R,TUABEXB-R
13,TCN,1fach,Trained_TUABEXB_test_TUABEXB,64.34,200,20110407,TUABEXB-R,TUABEXB-R
14,TCN,1fach,Trained_TUABEXB_test_TUABEXB,63.55,200,20170629,TUABEXB-R,TUABEXB-R
15,TCN,1fach,Trained_TUABEXB_test_TUABEXB,65.47,200,42,TUABEXB-R,TUABEXB-R
16,TCN,1fach,Trained_TUABEXB_test_TUABEXB,65.58,200,73,TUABEXB-R,TUABEXB-R
17,TCN,1fach,Trained_TUABEXB_test_TUABEXB,65.35,200,5157,TUABEXB-R,TUABEXB-R
18,TCN,1fach,Trained_TUABEXB_test_TUABEXB,65.35,200,15011963,TUABEXB-R,TUABEXB-R
19,TCN,1fach,Trained_TUABEXB_test_TUABEXB,63.1,200,682016,TUABEXB-R,TUABEXB-R
20,TCN,1fach,Trained_TUABEXB_test_TUABEXB,69.29,400,0,TUABEXB-R,TUABEXB-R
21,TCN,1fach,Trained_TUABEXB_test_TUABEXB,65.47,400,1,TUABEXB-R,TUABEXB-R
22,TCN,1fach,Trained_TUABEXB_test_TUABEXB,69.29,400,19022005,TUABEXB-R,TUABEXB-R
