,modelsize,task_name,accuracy,error,seed,trainset,testset
0,2f,,70.65,29.349999999999994,0,TUABCOMB-R,TUAB-R
1,2f,,73.19,26.810000000000002,1,TUABCOMB-R,TUAB-R
2,2f,,71.01,28.989999999999995,19022005,TUABCOMB-R,TUAB-R
3,2f,,76.09,23.909999999999997,20110407,TUABCOMB-R,TUAB-R
4,2f,,76.09,23.909999999999997,20170629,TUABCOMB-R,TUAB-R
5,2f,,69.57,30.430000000000007,42,TUABCOMB-R,TUAB-R
6,2f,,78.99,21.010000000000005,73,TUABCOMB-R,TUAB-R
7,2f,,75.36,24.64,5157,TUABCOMB-R,TUAB-R
8,2f,,69.93,30.069999999999993,15011963,TUABCOMB-R,TUAB-R
9,2f,,81.88,18.120000000000005,682016,TUABCOMB-R,TUAB-R
0,3f,,69.2,30.799999999999997,0,TUABCOMB-R,TUAB-R
1,3f,,69.2,30.799999999999997,1,TUABCOMB-R,TUAB-R
2,3f,,74.64,25.36,19022005,TUABCOMB-R,TUAB-R
3,3f,,76.09,23.909999999999997,20110407,TUABCOMB-R,TUAB-R
4,3f,,69.93,30.069999999999993,20170629,TUABCOMB-R,TUAB-R
5,3f,,73.91,26.090000000000003,42,TUABCOMB-R,TUAB-R
6,3f,,75.72,24.28,73,TUABCOMB-R,TUAB-R
7,3f,,82.25,17.75,5157,TUABCOMB-R,TUAB-R
8,3f,,73.55,26.450000000000003,15011963,TUABCOMB-R,TUAB-R
9,3f,,81.16,18.840000000000003,682016,TUABCOMB-R,TUAB-R
0,4f,,78.99,21.010000000000005,0,TUABCOMB-R,TUAB-R
1,4f,,74.64,25.36,1,TUABCOMB-R,TUAB-R
2,4f,,77.54,22.459999999999994,19022005,TUABCOMB-R,TUAB-R
3,4f,,72.83,27.17,20110407,TUABCOMB-R,TUAB-R
4,4f,,79.35,20.650000000000006,20170629,TUABCOMB-R,TUAB-R
5,4f,,80.43,19.569999999999993,42,TUABCOMB-R,TUAB-R
6,4f,,72.1,27.900000000000006,73,TUABCOMB-R,TUAB-R
7,4f,,83.7,16.299999999999997,5157,TUABCOMB-R,TUAB-R
8,4f,,69.2,30.799999999999997,15011963,TUABCOMB-R,TUAB-R
9,4f,,76.81,23.189999999999998,682016,TUABCOMB-R,TUAB-R
0,9f,,84.42,15.579999999999998,0,TUABCOMB-R,TUAB-R
1,9f,,84.42,15.579999999999998,1,TUABCOMB-R,TUAB-R
2,9f,,84.42,15.579999999999998,19022005,TUABCOMB-R,TUAB-R
3,9f,,84.42,15.579999999999998,20110407,TUABCOMB-R,TUAB-R
4,9f,,84.78,15.219999999999999,20170629,TUABCOMB-R,TUAB-R
5,9f,,84.06,15.939999999999998,42,TUABCOMB-R,TUAB-R
6,9f,,84.06,15.939999999999998,73,TUABCOMB-R,TUAB-R
7,9f,,81.88,18.120000000000005,5157,TUABCOMB-R,TUAB-R
8,9f,,82.25,17.75,15011963,TUABCOMB-R,TUAB-R
9,9f,,81.88,18.120000000000005,682016,TUABCOMB-R,TUAB-R
0,0.25fach,,86.23,13.769999999999996,0,TUABCOMB-R,TUAB-R
1,0.25fach,,84.78,15.219999999999999,1,TUABCOMB-R,TUAB-R
2,0.25fach,,86.23,13.769999999999996,19022005,TUABCOMB-R,TUAB-R
3,0.25fach,,84.42,15.579999999999998,20110407,TUABCOMB-R,TUAB-R
4,0.25fach,,85.51,14.489999999999995,20170629,TUABCOMB-R,TUAB-R
5,0.25fach,,84.06,15.939999999999998,42,TUABCOMB-R,TUAB-R
6,0.25fach,,85.51,14.489999999999995,73,TUABCOMB-R,TUAB-R
7,0.25fach,,86.59,13.409999999999997,5157,TUABCOMB-R,TUAB-R
8,0.25fach,,85.14,14.86,15011963,TUABCOMB-R,TUAB-R
9,0.25fach,,84.78,15.219999999999999,682016,TUABCOMB-R,TUAB-R
