,modelsize,task_name,accuracy,error,seed,trainset,testset
0,2f,TUABCOMBR_test_TUABEXBR,67.6,32.400000000000006,0,TUABCOMB-R,TUABEXB-R
1,2f,TUABCOMBR_test_TUABEXBR,66.93,33.06999999999999,1,TUABCOMB-R,TUABEXB-R
2,2f,TUABCOMBR_test_TUABEXBR,68.17,31.83,19022005,TUABCOMB-R,TUABEXB-R
3,2f,TUABCOMBR_test_TUABEXBR,70.87,29.129999999999995,20110407,TUABCOMB-R,TUABEXB-R
4,2f,TUABCOMBR_test_TUABEXBR,70.53,29.47,20170629,TUABCOMB-R,TUABEXB-R
5,2f,TUABCOMBR_test_TUABEXBR,64.12,35.879999999999995,42,TUABCOMB-R,TUABEXB-R
6,2f,TUABCOMBR_test_TUABEXBR,74.47,25.53,73,TUABCOMB-R,TUABEXB-R
7,2f,TUABCOMBR_test_TUABEXBR,70.08,29.92,5157,TUABCOMB-R,TUABEXB-R
8,2f,TUABCOMBR_test_TUABEXBR,65.8,34.2,15011963,TUABCOMB-R,TUABEXB-R
9,2f,TUABCOMBR_test_TUABEXBR,77.95,22.049999999999997,682016,TUABCOMB-R,TUABEXB-R
0,3f,TUABCOMBR_test_TUABEXBR,65.24,34.760000000000005,0,TUABCOMB-R,TUABEXB-R
1,3f,TUABCOMBR_test_TUABEXBR,65.69,34.31,1,TUABCOMB-R,TUABEXB-R
2,3f,TUABCOMBR_test_TUABEXBR,71.09,28.909999999999997,19022005,TUABCOMB-R,TUABEXB-R
3,3f,TUABCOMBR_test_TUABEXBR,70.98,29.019999999999996,20110407,TUABCOMB-R,TUABEXB-R
4,3f,TUABCOMBR_test_TUABEXBR,66.14,33.86,20170629,TUABCOMB-R,TUABEXB-R
5,3f,TUABCOMBR_test_TUABEXBR,69.52,30.480000000000004,42,TUABCOMB-R,TUABEXB-R
6,3f,TUABCOMBR_test_TUABEXBR,71.32,28.680000000000007,73,TUABCOMB-R,TUABEXB-R
7,3f,TUABCOMBR_test_TUABEXBR,79.87,20.129999999999995,5157,TUABCOMB-R,TUABEXB-R
8,3f,TUABCOMBR_test_TUABEXBR,69.29,30.709999999999994,15011963,TUABCOMB-R,TUABEXB-R
9,3f,TUABCOMBR_test_TUABEXBR,76.94,23.060000000000002,682016,TUABCOMB-R,TUABEXB-R
0,4f,TUABCOMBR_test_TUABEXBR,75.25,24.75,0,TUABCOMB-R,TUABEXB-R
1,4f,TUABCOMBR_test_TUABEXBR,72.1,27.900000000000006,1,TUABCOMB-R,TUABEXB-R
2,4f,TUABCOMBR_test_TUABEXBR,75.25,24.75,19022005,TUABCOMB-R,TUABEXB-R
3,4f,TUABCOMBR_test_TUABEXBR,69.52,30.480000000000004,20110407,TUABCOMB-R,TUABEXB-R
4,4f,TUABCOMBR_test_TUABEXBR,74.24,25.760000000000005,20170629,TUABCOMB-R,TUABEXB-R
5,4f,TUABCOMBR_test_TUABEXBR,75.37,24.629999999999995,42,TUABCOMB-R,TUABEXB-R
6,4f,TUABCOMBR_test_TUABEXBR,67.27,32.730000000000004,73,TUABCOMB-R,TUABEXB-R
7,4f,TUABCOMBR_test_TUABEXBR,77.95,22.049999999999997,5157,TUABCOMB-R,TUABEXB-R
8,4f,TUABCOMBR_test_TUABEXBR,63.89,36.11,15011963,TUABCOMB-R,TUABEXB-R
9,4f,TUABCOMBR_test_TUABEXBR,72.67,27.33,682016,TUABCOMB-R,TUABEXB-R
0,9f,TUABCOMBR_test_TUABEXBR,80.2,19.799999999999997,0,TUABCOMB-R,TUABEXB-R
1,9f,TUABCOMBR_test_TUABEXBR,81.55,18.450000000000003,1,TUABCOMB-R,TUABEXB-R
2,9f,TUABCOMBR_test_TUABEXBR,81.78,18.22,19022005,TUABCOMB-R,TUABEXB-R
3,9f,TUABCOMBR_test_TUABEXBR,82.79,17.209999999999994,20110407,TUABCOMB-R,TUABEXB-R
4,9f,TUABCOMBR_test_TUABEXBR,82.0,18.0,20170629,TUABCOMB-R,TUABEXB-R
5,9f,TUABCOMBR_test_TUABEXBR,80.65,19.349999999999994,42,TUABCOMB-R,TUABEXB-R
6,9f,TUABCOMBR_test_TUABEXBR,80.43,19.569999999999993,73,TUABCOMB-R,TUABEXB-R
7,9f,TUABCOMBR_test_TUABEXBR,79.42,20.58,5157,TUABCOMB-R,TUABEXB-R
8,9f,TUABCOMBR_test_TUABEXBR,77.62,22.379999999999995,15011963,TUABCOMB-R,TUABEXB-R
9,9f,TUABCOMBR_test_TUABEXBR,79.08,20.92,682016,TUABCOMB-R,TUABEXB-R
0,0.25fach,TUABCOMBR_test_TUABEXBR,84.7,15.299999999999997,0,TUABCOMB-R,TUABEXB-R
1,0.25fach,TUABCOMBR_test_TUABEXBR,82.79,17.209999999999994,1,TUABCOMB-R,TUABEXB-R
2,0.25fach,TUABCOMBR_test_TUABEXBR,84.03,15.969999999999999,19022005,TUABCOMB-R,TUABEXB-R
3,0.25fach,TUABCOMBR_test_TUABEXBR,80.2,19.799999999999997,20110407,TUABCOMB-R,TUABEXB-R
4,0.25fach,TUABCOMBR_test_TUABEXBR,84.03,15.969999999999999,20170629,TUABCOMB-R,TUABEXB-R
5,0.25fach,TUABCOMBR_test_TUABEXBR,81.21,18.790000000000006,42,TUABCOMB-R,TUABEXB-R
6,0.25fach,TUABCOMBR_test_TUABEXBR,84.48,15.519999999999996,73,TUABCOMB-R,TUABEXB-R
7,0.25fach,TUABCOMBR_test_TUABEXBR,84.7,15.299999999999997,5157,TUABCOMB-R,TUABEXB-R
8,0.25fach,TUABCOMBR_test_TUABEXBR,83.01,16.989999999999995,15011963,TUABCOMB-R,TUABEXB-R
