,modelsize,task_name,accuracy,error,seed,trainset,testset
0,2f,TUABEXBR_test_TUABEXBR,67.83,32.17,0,TUABEXB-R,TUABEXB-R
1,2f,TUABEXBR_test_TUABEXBR,69.74,30.260000000000005,1,TUABEXB-R,TUABEXB-R
2,2f,TUABEXBR_test_TUABEXBR,70.75,29.25,19022005,TUABEXB-R,TUABEXB-R
3,2f,TUABEXBR_test_TUABEXBR,71.32,28.680000000000007,20110407,TUABEXB-R,TUABEXB-R
4,2f,TUABEXBR_test_TUABEXBR,71.65,28.349999999999994,20170629,TUABEXB-R,TUABEXB-R
5,2f,TUABEXBR_test_TUABEXBR,70.53,29.47,42,TUABEXB-R,TUABEXB-R
6,2f,TUABEXBR_test_TUABEXBR,78.52,21.480000000000004,73,TUABEXB-R,TUABEXB-R
7,2f,TUABEXBR_test_TUABEXBR,73.79,26.209999999999994,5157,TUABEXB-R,TUABEXB-R
8,2f,TUABEXBR_test_TUABEXBR,64.57,35.43000000000001,15011963,TUABEXB-R,TUABEXB-R
9,2f,TUABEXBR_test_TUABEXBR,69.97,30.03,682016,TUABEXB-R,TUABEXB-R
0,3,TUABEXBR_test_TUABEXBR,73.79,26.209999999999994,0,TUABEXB-R,TUABEXB-R
1,3,TUABEXBR_test_TUABEXBR,71.99,28.010000000000005,1,TUABEXB-R,TUABEXB-R
2,3,TUABEXBR_test_TUABEXBR,73.68,26.319999999999993,19022005,TUABEXB-R,TUABEXB-R
3,3,TUABEXBR_test_TUABEXBR,76.27,23.730000000000004,20110407,TUABEXB-R,TUABEXB-R
4,3,TUABEXBR_test_TUABEXBR,78.07,21.930000000000007,20170629,TUABEXB-R,TUABEXB-R
5,3,TUABEXBR_test_TUABEXBR,80.2,19.799999999999997,42,TUABEXB-R,TUABEXB-R
6,3,TUABEXBR_test_TUABEXBR,73.79,26.209999999999994,73,TUABEXB-R,TUABEXB-R
7,3,TUABEXBR_test_TUABEXBR,69.52,30.480000000000004,5157,TUABEXB-R,TUABEXB-R
8,3,TUABEXBR_test_TUABEXBR,68.5,31.5,15011963,TUABEXB-R,TUABEXB-R
9,3,TUABEXBR_test_TUABEXBR,74.47,25.53,682016,TUABEXB-R,TUABEXB-R
0,4f,TUABEXBR_test_TUABEXBR,77.28,22.72,0,TUABEXB-R,TUABEXB-R
1,4f,TUABEXBR_test_TUABEXBR,64.68,35.31999999999999,1,TUABEXB-R,TUABEXB-R
2,4f,TUABEXBR_test_TUABEXBR,71.32,28.680000000000007,19022005,TUABEXB-R,TUABEXB-R
3,4f,TUABEXBR_test_TUABEXBR,78.07,21.930000000000007,20110407,TUABEXB-R,TUABEXB-R
4,4f,TUABEXBR_test_TUABEXBR,70.53,29.47,20170629,TUABEXB-R,TUABEXB-R
5,4f,TUABEXBR_test_TUABEXBR,73.23,26.769999999999996,42,TUABEXB-R,TUABEXB-R
6,4f,TUABEXBR_test_TUABEXBR,71.88,28.120000000000005,73,TUABEXB-R,TUABEXB-R
7,4f,TUABEXBR_test_TUABEXBR,73.12,26.879999999999995,5157,TUABEXB-R,TUABEXB-R
8,4f,TUABEXBR_test_TUABEXBR,80.2,19.799999999999997,15011963,TUABEXB-R,TUABEXB-R
9,4f,TUABEXBR_test_TUABEXBR,75.03,24.97,682016,TUABEXB-R,TUABEXB-R
0,9f,TUABEXBR_test_TUABEXBR,82.0,18.0,0,TUABEXB-R,TUABEXB-R
1,9f,TUABEXBR_test_TUABEXBR,83.01,16.989999999999995,1,TUABEXB-R,TUABEXB-R
2,9f,TUABEXBR_test_TUABEXBR,76.38,23.620000000000005,19022005,TUABEXB-R,TUABEXB-R
3,9f,TUABEXBR_test_TUABEXBR,78.97,21.03,20110407,TUABEXB-R,TUABEXB-R
4,9f,TUABEXBR_test_TUABEXBR,77.39,22.61,20170629,TUABEXB-R,TUABEXB-R
5,9f,TUABEXBR_test_TUABEXBR,77.5,22.5,42,TUABEXB-R,TUABEXB-R
6,9f,TUABEXBR_test_TUABEXBR,73.23,26.769999999999996,73,TUABEXB-R,TUABEXB-R
7,9f,TUABEXBR_test_TUABEXBR,78.52,21.480000000000004,5157,TUABEXB-R,TUABEXB-R
8,9f,TUABEXBR_test_TUABEXBR,79.75,20.25,15011963,TUABEXB-R,TUABEXB-R
9,9f,TUABEXBR_test_TUABEXBR,78.29,21.709999999999994,682016,TUABEXB-R,TUABEXB-R
