,modelsize,task_name,accuracy,error,seed,trainset,testset
0,2filter,TUAB_test_TUAB,62.68,37.32,0,TUAB-R,TUAB-R
1,2filter,TUAB_test_TUAB,67.75,32.25,1,TUAB-R,TUAB-R
2,2filter,TUAB_test_TUAB,75.0,25.0,19022005,TUAB-R,TUAB-R
3,2filter,TUAB_test_TUAB,70.65,29.349999999999994,20110407,TUAB-R,TUAB-R
4,2filter,TUAB_test_TUAB,71.38,28.620000000000005,20170629,TUAB-R,TUAB-R
5,2filter,TUAB_test_TUAB,73.19,26.810000000000002,42,TUAB-R,TUAB-R
6,2filter,TUAB_test_TUAB,77.17,22.83,73,TUAB-R,TUAB-R
7,2filter,TUAB_test_TUAB,71.74,28.260000000000005,5157,TUAB-R,TUAB-R
8,2filter,TUAB_test_TUAB,73.55,26.450000000000003,15011963,TUAB-R,TUAB-R
9,2filter,TUAB_test_TUAB,71.38,28.620000000000005,682016,TUAB-R,TUAB-R
0,3filter,TUAB_test_TUAB,77.54,22.459999999999994,0,TUAB-R,TUAB-R
1,3filter,TUAB_test_TUAB,81.52,18.480000000000004,1,TUAB-R,TUAB-R
2,3filter,TUAB_test_TUAB,76.45,23.549999999999997,19022005,TUAB-R,TUAB-R
3,3filter,TUAB_test_TUAB,81.52,18.480000000000004,20110407,TUAB-R,TUAB-R
4,3filter,TUAB_test_TUAB,77.54,22.459999999999994,20170629,TUAB-R,TUAB-R
5,3filter,TUAB_test_TUAB,80.8,19.200000000000003,42,TUAB-R,TUAB-R
6,3filter,TUAB_test_TUAB,77.17,22.83,73,TUAB-R,TUAB-R
7,3filter,TUAB_test_TUAB,81.16,18.840000000000003,5157,TUAB-R,TUAB-R
8,3filter,TUAB_test_TUAB,76.09,23.909999999999997,15011963,TUAB-R,TUAB-R
9,3filter,TUAB_test_TUAB,76.09,23.909999999999997,682016,TUAB-R,TUAB-R
0,4filter,TUAB_test_TUAB,81.88,18.120000000000005,0,TUAB-R,TUAB-R
1,4filter,TUAB_test_TUAB,72.46,27.540000000000006,1,TUAB-R,TUAB-R
2,4filter,TUAB_test_TUAB,78.26,21.739999999999995,19022005,TUAB-R,TUAB-R
3,4filter,TUAB_test_TUAB,76.09,23.909999999999997,20110407,TUAB-R,TUAB-R
4,4filter,TUAB_test_TUAB,80.43,19.569999999999993,20170629,TUAB-R,TUAB-R
5,4filter,TUAB_test_TUAB,77.9,22.099999999999994,42,TUAB-R,TUAB-R
6,4filter,TUAB_test_TUAB,78.26,21.739999999999995,73,TUAB-R,TUAB-R
7,4filter,TUAB_test_TUAB,77.17,22.83,5157,TUAB-R,TUAB-R
8,4filter,TUAB_test_TUAB,69.93,30.069999999999993,15011963,TUAB-R,TUAB-R
9,4filter,TUAB_test_TUAB,77.9,22.099999999999994,682016,TUAB-R,TUAB-R
0,9filter,TUAB_test_TUAB,85.87,14.129999999999995,0,TUAB-R,TUAB-R
1,9filter,TUAB_test_TUAB,85.51,14.489999999999995,1,TUAB-R,TUAB-R
2,9filter,TUAB_test_TUAB,83.7,16.299999999999997,19022005,TUAB-R,TUAB-R
3,9filter,TUAB_test_TUAB,85.14,14.86,20110407,TUAB-R,TUAB-R
4,9filter,TUAB_test_TUAB,79.35,20.650000000000006,20170629,TUAB-R,TUAB-R
