,modelsize,task_name,accuracy,error,seed,trainset,testset
0,8filter,TUAB_test_TUAB,86.23,13.769999999999996,0,TUAB-R,TUAB-R
1,8filter,TUAB_test_TUAB,86.59,13.409999999999997,1,TUAB-R,TUAB-R
2,8filter,TUAB_test_TUAB,85.51,14.489999999999995,19022005,TUAB-R,TUAB-R
3,8filter,TUAB_test_TUAB,85.87,14.129999999999995,20110407,TUAB-R,TUAB-R
4,8filter,TUAB_test_TUAB,84.78,15.219999999999999,20170629,TUAB-R,TUAB-R
5,8filter,TUAB_test_TUAB,85.14,14.86,42,TUAB-R,TUAB-R
6,8filter,TUAB_test_TUAB,85.87,14.129999999999995,73,TUAB-R,TUAB-R
7,8filter,TUAB_test_TUAB,86.23,13.769999999999996,5157,TUAB-R,TUAB-R
8,8filter,TUAB_test_TUAB,84.78,15.219999999999999,15011963,TUAB-R,TUAB-R
9,8filter,TUAB_test_TUAB,85.14,14.86,682016,TUAB-R,TUAB-R
0,12filter,TUAB_test_TUAB,84.42,15.579999999999998,0,TUAB-R,TUAB-R
1,12filter,TUAB_test_TUAB,85.87,14.129999999999995,1,TUAB-R,TUAB-R
2,12filter,TUAB_test_TUAB,83.33,16.67,19022005,TUAB-R,TUAB-R
3,12filter,TUAB_test_TUAB,85.51,14.489999999999995,20110407,TUAB-R,TUAB-R
4,12filter,TUAB_test_TUAB,84.42,15.579999999999998,20170629,TUAB-R,TUAB-R
5,12filter,TUAB_test_TUAB,84.42,15.579999999999998,42,TUAB-R,TUAB-R
6,12filter,TUAB_test_TUAB,81.52,18.480000000000004,73,TUAB-R,TUAB-R
7,12filter,TUAB_test_TUAB,85.51,14.489999999999995,5157,TUAB-R,TUAB-R
8,12filter,TUAB_test_TUAB,85.51,14.489999999999995,15011963,TUAB-R,TUAB-R
9,12filter,TUAB_test_TUAB,84.06,15.939999999999998,682016,TUAB-R,TUAB-R
0,18filter,TUAB_test_TUAB,80.43,19.569999999999993,0,TUAB-R,TUAB-R
1,18filter,TUAB_test_TUAB,84.06,15.939999999999998,1,TUAB-R,TUAB-R
2,18filter,TUAB_test_TUAB,85.51,14.489999999999995,19022005,TUAB-R,TUAB-R
3,18filter,TUAB_test_TUAB,84.78,15.219999999999999,20110407,TUAB-R,TUAB-R
4,18filter,TUAB_test_TUAB,84.42,15.579999999999998,20170629,TUAB-R,TUAB-R
5,18filter,TUAB_test_TUAB,85.51,14.489999999999995,42,TUAB-R,TUAB-R
6,18filter,TUAB_test_TUAB,85.14,14.86,73,TUAB-R,TUAB-R
7,18filter,TUAB_test_TUAB,85.51,14.489999999999995,5157,TUAB-R,TUAB-R
8,18filter,TUAB_test_TUAB,81.16,18.840000000000003,15011963,TUAB-R,TUAB-R
9,18filter,TUAB_test_TUAB,85.51,14.489999999999995,682016,TUAB-R,TUAB-R
0,0.25fach,TUAB_test_TUAB,84.42,15.579999999999998,0,TUAB-R,TUAB-R
1,0.25fach,TUAB_test_TUAB,85.87,14.129999999999995,1,TUAB-R,TUAB-R
2,0.25fach,TUAB_test_TUAB,84.78,15.219999999999999,19022005,TUAB-R,TUAB-R
3,0.25fach,TUAB_test_TUAB,84.06,15.939999999999998,20110407,TUAB-R,TUAB-R
4,0.25fach,TUAB_test_TUAB,82.61,17.39,20170629,TUAB-R,TUAB-R
5,0.25fach,TUAB_test_TUAB,85.14,14.86,42,TUAB-R,TUAB-R
6,0.25fach,TUAB_test_TUAB,84.06,15.939999999999998,73,TUAB-R,TUAB-R
7,0.25fach,TUAB_test_TUAB,84.06,15.939999999999998,5157,TUAB-R,TUAB-R
8,0.25fach,TUAB_test_TUAB,80.07,19.930000000000007,15011963,TUAB-R,TUAB-R
9,0.25fach,TUAB_test_TUAB,83.7,16.299999999999997,682016,TUAB-R,TUAB-R
0,0.5fach,TUAB_test_TUAB,83.33,16.67,0,TUAB-R,TUAB-R
1,0.5fach,TUAB_test_TUAB,81.16,18.840000000000003,1,TUAB-R,TUAB-R
2,0.5fach,TUAB_test_TUAB,86.23,13.769999999999996,19022005,TUAB-R,TUAB-R
3,0.5fach,TUAB_test_TUAB,85.14,14.86,20110407,TUAB-R,TUAB-R
4,0.5fach,TUAB_test_TUAB,83.7,16.299999999999997,20170629,TUAB-R,TUAB-R
5,0.5fach,TUAB_test_TUAB,82.25,17.75,42,TUAB-R,TUAB-R
6,0.5fach,TUAB_test_TUAB,83.7,16.299999999999997,73,TUAB-R,TUAB-R
7,0.5fach,TUAB_test_TUAB,82.61,17.39,5157,TUAB-R,TUAB-R
8,0.5fach,TUAB_test_TUAB,85.14,14.86,15011963,TUAB-R,TUAB-R
9,0.5fach,TUAB_test_TUAB,85.51,14.489999999999995,682016,TUAB-R,TUAB-R
0,1fach,TUAB_saturation_all,84.06,15.939999999999998,0,TUAB-R,TUAB-R
1,1fach,TUAB_saturation_all,83.7,16.299999999999997,1,TUAB-R,TUAB-R
2,1fach,TUAB_saturation_all,85.51,14.489999999999995,19022005,TUAB-R,TUAB-R
3,1fach,TUAB_saturation_all,84.42,15.579999999999998,20110407,TUAB-R,TUAB-R
4,1fach,TUAB_saturation_all,84.06,15.939999999999998,20170629,TUAB-R,TUAB-R
5,1fach,TUAB_saturation_all,84.42,15.579999999999998,42,TUAB-R,TUAB-R
6,1fach,TUAB_saturation_all,84.42,15.579999999999998,73,TUAB-R,TUAB-R
7,1fach,TUAB_saturation_all,83.33,16.67,5157,TUAB-R,TUAB-R
8,1fach,TUAB_saturation_all,83.7,16.299999999999997,15011963,TUAB-R,TUAB-R
9,1fach,TUAB_saturation_all,83.7,16.299999999999997,682016,TUAB-R,TUAB-R
0,2fach,TUAB_test_TUAB,85.51,14.489999999999995,0,TUAB-R,TUAB-R
1,2fach,TUAB_test_TUAB,84.78,15.219999999999999,1,TUAB-R,TUAB-R
2,2fach,TUAB_test_TUAB,82.97,17.03,19022005,TUAB-R,TUAB-R
3,2fach,TUAB_test_TUAB,85.51,14.489999999999995,20110407,TUAB-R,TUAB-R
