,modelsize,task_name,accuracy,error,seed,trainset,testset
0,3f,,85.51,14.489999999999995,0,TUABCOMB-R,TUAB-R
1,3f,,85.87,14.129999999999995,1,TUABCOMB-R,TUAB-R
2,3f,,85.87,14.129999999999995,19022005,TUABCOMB-R,TUAB-R
3,3f,,86.23,13.769999999999996,20110407,TUABCOMB-R,TUAB-R
4,3f,,85.14,14.86,20170629,TUABCOMB-R,TUAB-R
5,3f,,85.87,14.129999999999995,42,TUABCOMB-R,TUAB-R
6,3f,,85.14,14.86,73,TUABCOMB-R,TUAB-R
7,3f,,84.78,15.219999999999999,5157,TUABCOMB-R,TUAB-R
8,3f,,85.14,14.86,15011963,TUABCOMB-R,TUAB-R
9,3f,,84.78,15.219999999999999,682016,TUABCOMB-R,TUAB-R
0,4f,,85.14,14.86,0,TUABCOMB-R,TUAB-R
1,4f,,85.14,14.86,1,TUABCOMB-R,TUAB-R
2,4f,,85.14,14.86,19022005,TUABCOMB-R,TUAB-R
3,4f,,85.14,14.86,20110407,TUABCOMB-R,TUAB-R
4,4f,,85.14,14.86,20170629,TUABCOMB-R,TUAB-R
5,4f,,85.14,14.86,42,TUABCOMB-R,TUAB-R
6,4f,,85.14,14.86,73,TUABCOMB-R,TUAB-R
7,4f,,86.23,13.769999999999996,5157,TUABCOMB-R,TUAB-R
8,4f,,84.78,15.219999999999999,15011963,TUABCOMB-R,TUAB-R
9,4f,,85.87,14.129999999999995,682016,TUABCOMB-R,TUAB-R
0,6f,,85.14,14.86,0,TUABCOMB-R,TUAB-R
1,6f,,85.14,14.86,1,TUABCOMB-R,TUAB-R
2,6f,,85.87,14.129999999999995,19022005,TUABCOMB-R,TUAB-R
3,6f,,85.14,14.86,20110407,TUABCOMB-R,TUAB-R
4,6f,,85.14,14.86,20170629,TUABCOMB-R,TUAB-R
5,6f,,85.87,14.129999999999995,42,TUABCOMB-R,TUAB-R
6,6f,,85.87,14.129999999999995,73,TUABCOMB-R,TUAB-R
7,6f,,85.51,14.489999999999995,5157,TUABCOMB-R,TUAB-R
8,6f,,85.87,14.129999999999995,15011963,TUABCOMB-R,TUAB-R
9,6f,,85.87,14.129999999999995,682016,TUABCOMB-R,TUAB-R
0,15f,,84.06,15.939999999999998,0,TUABCOMB-R,TUAB-R
1,15f,,85.14,14.86,1,TUABCOMB-R,TUAB-R
2,15f,,84.78,15.219999999999999,19022005,TUABCOMB-R,TUAB-R
3,15f,,84.78,15.219999999999999,20110407,TUABCOMB-R,TUAB-R
4,15f,,85.51,14.489999999999995,20170629,TUABCOMB-R,TUAB-R
5,15f,,85.14,14.86,42,TUABCOMB-R,TUAB-R
6,15f,,85.51,14.489999999999995,73,TUABCOMB-R,TUAB-R
7,15f,,85.87,14.129999999999995,5157,TUABCOMB-R,TUAB-R
8,15f,,84.78,15.219999999999999,15011963,TUABCOMB-R,TUAB-R
9,15f,,85.51,14.489999999999995,682016,TUABCOMB-R,TUAB-R
0,0.25fach,,85.51,14.489999999999995,0,TUABCOMB-R,TUAB-R
1,0.25fach,,85.87,14.129999999999995,1,TUABCOMB-R,TUAB-R
2,0.25fach,,85.51,14.489999999999995,19022005,TUABCOMB-R,TUAB-R
3,0.25fach,,85.14,14.86,20110407,TUABCOMB-R,TUAB-R
4,0.25fach,,85.51,14.489999999999995,20170629,TUABCOMB-R,TUAB-R
5,0.25fach,,85.51,14.489999999999995,42,TUABCOMB-R,TUAB-R
6,0.25fach,,85.87,14.129999999999995,73,TUABCOMB-R,TUAB-R
7,0.25fach,,86.59,13.409999999999997,5157,TUABCOMB-R,TUAB-R
8,0.25fach,,85.14,14.86,15011963,TUABCOMB-R,TUAB-R
9,0.25fach,,85.51,14.489999999999995,682016,TUABCOMB-R,TUAB-R
0,0.5fach,,85.87,14.129999999999995,0,TUABCOMB-R,TUAB-R
1,0.5fach,,85.87,14.129999999999995,1,TUABCOMB-R,TUAB-R
2,0.5fach,,85.87,14.129999999999995,19022005,TUABCOMB-R,TUAB-R
3,0.5fach,,85.51,14.489999999999995,20110407,TUABCOMB-R,TUAB-R
4,0.5fach,,85.51,14.489999999999995,20170629,TUABCOMB-R,TUAB-R
5,0.5fach,,86.23,13.769999999999996,42,TUABCOMB-R,TUAB-R
6,0.5fach,,85.14,14.86,73,TUABCOMB-R,TUAB-R
7,0.5fach,,85.14,14.86,5157,TUABCOMB-R,TUAB-R
8,0.5fach,,85.14,14.86,15011963,TUABCOMB-R,TUAB-R
9,0.5fach,,85.87,14.129999999999995,682016,TUABCOMB-R,TUAB-R
0,1fach,CombinedV3_test_TUAB_all,87.32,12.680000000000007,0,TUABCOMB-R,TUAB-R
1,1fach,CombinedV3_test_TUAB_all,86.23,13.769999999999996,1,TUABCOMB-R,TUAB-R
2,1fach,CombinedV3_test_TUAB_all,85.87,14.129999999999995,19022005,TUABCOMB-R,TUAB-R
3,1fach,CombinedV3_test_TUAB_all,86.59,13.409999999999997,20110407,TUABCOMB-R,TUAB-R
4,1fach,CombinedV3_test_TUAB_all,84.78,15.219999999999999,20170629,TUABCOMB-R,TUAB-R
5,1fach,CombinedV3_test_TUAB_all,85.87,14.129999999999995,42,TUABCOMB-R,TUAB-R
6,1fach,CombinedV3_test_TUAB_all,85.87,14.129999999999995,73,TUABCOMB-R,TUAB-R
7,1fach,CombinedV3_test_TUAB_all,86.59,13.409999999999997,5157,TUABCOMB-R,TUAB-R
