,modelsize,task_name,accuracy,error,seed,trainset,testset
0,3f,TUABCOMBR_test_TUABEXBR,83.01,16.989999999999995,0,TUABCOMB-R,TUABEXB-R
1,3f,TUABCOMBR_test_TUABEXBR,83.13,16.870000000000005,1,TUABCOMB-R,TUABEXB-R
2,3f,TUABCOMBR_test_TUABEXBR,83.46,16.540000000000006,19022005,TUABCOMB-R,TUABEXB-R
3,3f,TUABCOMBR_test_TUABEXBR,83.35,16.650000000000006,20110407,TUABCOMB-R,TUABEXB-R
4,3f,TUABCOMBR_test_TUABEXBR,82.68,17.319999999999993,20170629,TUABCOMB-R,TUABEXB-R
5,3f,TUABCOMBR_test_TUABEXBR,83.58,16.42,42,TUABCOMB-R,TUABEXB-R
6,3f,TUABCOMBR_test_TUABEXBR,83.58,16.42,73,TUABCOMB-R,TUABEXB-R
7,3f,TUABCOMBR_test_TUABEXBR,83.58,16.42,5157,TUABCOMB-R,TUABEXB-R
8,3f,TUABCOMBR_test_TUABEXBR,83.58,16.42,15011963,TUABCOMB-R,TUABEXB-R
9,3f,TUABCOMBR_test_TUABEXBR,84.36,15.64,682016,TUABCOMB-R,TUABEXB-R
0,4f,TUABCOMBR_test_TUABEXBR,83.24,16.760000000000005,0,TUABCOMB-R,TUABEXB-R
1,4f,TUABCOMBR_test_TUABEXBR,84.59,15.409999999999997,1,TUABCOMB-R,TUABEXB-R
2,4f,TUABCOMBR_test_TUABEXBR,84.03,15.969999999999999,19022005,TUABCOMB-R,TUABEXB-R
3,4f,TUABCOMBR_test_TUABEXBR,84.7,15.299999999999997,20110407,TUABCOMB-R,TUABEXB-R
4,4f,TUABCOMBR_test_TUABEXBR,84.14,15.86,20170629,TUABCOMB-R,TUABEXB-R
5,4f,TUABCOMBR_test_TUABEXBR,84.7,15.299999999999997,42,TUABCOMB-R,TUABEXB-R
6,4f,TUABCOMBR_test_TUABEXBR,83.35,16.650000000000006,73,TUABCOMB-R,TUABEXB-R
7,4f,TUABCOMBR_test_TUABEXBR,83.24,16.760000000000005,5157,TUABCOMB-R,TUABEXB-R
