,modelsize,task_name,accuracy,error,seed,trainset,testset
0,3f,TUABEXBR_test_TUABEXBR,82.23,17.769999999999996,0,TUABEXB-R,TUABEXB-R
1,3f,TUABEXBR_test_TUABEXBR,82.9,17.099999999999994,1,TUABEXB-R,TUABEXB-R
2,3f,TUABEXBR_test_TUABEXBR,82.68,17.319999999999993,19022005,TUABEXB-R,TUABEXB-R
3,3f,TUABEXBR_test_TUABEXBR,84.03,15.969999999999999,20110407,TUABEXB-R,TUABEXB-R
4,3f,TUABEXBR_test_TUABEXBR,83.69,16.310000000000002,20170629,TUABEXB-R,TUABEXB-R
5,3f,TUABEXBR_test_TUABEXBR,82.34,17.659999999999997,42,TUABEXB-R,TUABEXB-R
6,3f,TUABEXBR_test_TUABEXBR,83.69,16.310000000000002,73,TUABEXB-R,TUABEXB-R
7,3f,TUABEXBR_test_TUABEXBR,83.01,16.989999999999995,5157,TUABEXB-R,TUABEXB-R
8,3f,TUABEXBR_test_TUABEXBR,83.58,16.42,15011963,TUABEXB-R,TUABEXB-R
9,3f,TUABEXBR_test_TUABEXBR,82.11,17.89,682016,TUABEXB-R,TUABEXB-R
0,4f,TUABEXBR_test_TUABEXBR,84.48,15.519999999999996,0,TUABEXB-R,TUABEXB-R
1,4f,TUABEXBR_test_TUABEXBR,83.58,16.42,1,TUABEXB-R,TUABEXB-R
2,4f,TUABEXBR_test_TUABEXBR,84.03,15.969999999999999,19022005,TUABEXB-R,TUABEXB-R
3,4f,TUABEXBR_test_TUABEXBR,84.59,15.409999999999997,20110407,TUABEXB-R,TUABEXB-R
4,4f,TUABEXBR_test_TUABEXBR,83.8,16.200000000000003,20170629,TUABEXB-R,TUABEXB-R
5,4f,TUABEXBR_test_TUABEXBR,83.91,16.090000000000003,42,TUABEXB-R,TUABEXB-R
6,4f,TUABEXBR_test_TUABEXBR,84.03,15.969999999999999,73,TUABEXB-R,TUABEXB-R
7,4f,TUABEXBR_test_TUABEXBR,84.59,15.409999999999997,5157,TUABEXB-R,TUABEXB-R
8,4f,TUABEXBR_test_TUABEXBR,83.8,16.200000000000003,15011963,TUABEXB-R,TUABEXB-R
9,4f,TUABEXBR_test_TUABEXBR,84.14,15.86,682016,TUABEXB-R,TUABEXB-R
0,6f,TUABEXBR_test_TUABEXBR,85.04,14.959999999999994,0,TUABEXB-R,TUABEXB-R
1,6f,TUABEXBR_test_TUABEXBR,85.04,14.959999999999994,1,TUABEXB-R,TUABEXB-R
2,6f,TUABEXBR_test_TUABEXBR,84.81,15.189999999999998,19022005,TUABEXB-R,TUABEXB-R
3,6f,TUABEXBR_test_TUABEXBR,85.26,14.739999999999995,20110407,TUABEXB-R,TUABEXB-R
4,6f,TUABEXBR_test_TUABEXBR,84.7,15.299999999999997,20170629,TUABEXB-R,TUABEXB-R
5,6f,TUABEXBR_test_TUABEXBR,85.04,14.959999999999994,42,TUABEXB-R,TUABEXB-R
6,6f,TUABEXBR_test_TUABEXBR,84.59,15.409999999999997,73,TUABEXB-R,TUABEXB-R
7,6f,TUABEXBR_test_TUABEXBR,84.81,15.189999999999998,5157,TUABEXB-R,TUABEXB-R
8,6f,TUABEXBR_test_TUABEXBR,85.83,14.170000000000002,15011963,TUABEXB-R,TUABEXB-R
9,6f,TUABEXBR_test_TUABEXBR,84.81,15.189999999999998,682016,TUABEXB-R,TUABEXB-R
0,15f,TUABEXBR_test_TUABEXBR,85.6,14.400000000000006,0,TUABEXB-R,TUABEXB-R
1,15f,TUABEXBR_test_TUABEXBR,85.04,14.959999999999994,1,TUABEXB-R,TUABEXB-R
2,15f,TUABEXBR_test_TUABEXBR,85.38,14.620000000000005,19022005,TUABEXB-R,TUABEXB-R
3,15f,TUABEXBR_test_TUABEXBR,85.04,14.959999999999994,20110407,TUABEXB-R,TUABEXB-R
4,15f,TUABEXBR_test_TUABEXBR,85.49,14.510000000000005,20170629,TUABEXB-R,TUABEXB-R
5,15f,TUABEXBR_test_TUABEXBR,85.38,14.620000000000005,42,TUABEXB-R,TUABEXB-R
6,15f,TUABEXBR_test_TUABEXBR,84.93,15.069999999999993,73,TUABEXB-R,TUABEXB-R
7,15f,TUABEXBR_test_TUABEXBR,85.38,14.620000000000005,5157,TUABEXB-R,TUABEXB-R
8,15f,TUABEXBR_test_TUABEXBR,84.93,15.069999999999993,15011963,TUABEXB-R,TUABEXB-R
9,15f,TUABEXBR_test_TUABEXBR,85.94,14.060000000000002,682016,TUABEXB-R,TUABEXB-R
0,0.25fach,TUABEXBR_test_TUABEXBR,85.38,14.620000000000005,0,TUABEXB-R,TUABEXB-R
1,0.25fach,TUABEXBR_test_TUABEXBR,85.6,14.400000000000006,1,TUABEXB-R,TUABEXB-R
2,0.25fach,TUABEXBR_test_TUABEXBR,83.91,16.090000000000003,19022005,TUABEXB-R,TUABEXB-R
3,0.25fach,TUABEXBR_test_TUABEXBR,84.81,15.189999999999998,20110407,TUABEXB-R,TUABEXB-R
4,0.25fach,TUABEXBR_test_TUABEXBR,85.49,14.510000000000005,20170629,TUABEXB-R,TUABEXB-R
5,0.25fach,TUABEXBR_test_TUABEXBR,83.8,16.200000000000003,42,TUABEXB-R,TUABEXB-R
6,0.25fach,TUABEXBR_test_TUABEXBR,85.49,14.510000000000005,73,TUABEXB-R,TUABEXB-R
7,0.25fach,TUABEXBR_test_TUABEXBR,85.94,14.060000000000002,5157,TUABEXB-R,TUABEXB-R
8,0.25fach,TUABEXBR_test_TUABEXBR,84.7,15.299999999999997,15011963,TUABEXB-R,TUABEXB-R
9,0.25fach,TUABEXBR_test_TUABEXBR,85.15,14.849999999999994,682016,TUABEXB-R,TUABEXB-R
