,modelsize,task_name,accuracy,error,seed,trainset,testset
0,3filter,TUABCOMBR_test_TUABEXBR_HPO,83.01,16.989999999999995,0,TUABCOMB-R,TUABEXB-R
1,3filter,TUABCOMBR_test_TUABEXBR_HPO,82.56,17.439999999999998,1,TUABCOMB-R,TUABEXB-R
2,3filter,TUABCOMBR_test_TUABEXBR_HPO,83.24,16.760000000000005,19022005,TUABCOMB-R,TUABEXB-R
3,3filter,TUABCOMBR_test_TUABEXBR_HPO,83.01,16.989999999999995,20110407,TUABCOMB-R,TUABEXB-R
4,3filter,TUABCOMBR_test_TUABEXBR_HPO,83.46,16.540000000000006,20170629,TUABCOMB-R,TUABEXB-R
5,3filter,TUABCOMBR_test_TUABEXBR_HPO,82.79,17.209999999999994,42,TUABCOMB-R,TUABEXB-R
6,3filter,TUABCOMBR_test_TUABEXBR_HPO,83.01,16.989999999999995,73,TUABCOMB-R,TUABEXB-R
7,3filter,TUABCOMBR_test_TUABEXBR_HPO,83.13,16.870000000000005,5157,TUABCOMB-R,TUABEXB-R
8,3filter,TUABCOMBR_test_TUABEXBR_HPO,83.58,16.42,15011963,TUABCOMB-R,TUABEXB-R
9,3filter,TUABCOMBR_test_TUABEXBR_HPO,84.14,15.86,682016,TUABCOMB-R,TUABEXB-R
0,4filter,TUABCOMBR_test_TUABEXBR_HPO,84.25,15.75,0,TUABCOMB-R,TUABEXB-R
1,4filter,TUABCOMBR_test_TUABEXBR_HPO,84.59,15.409999999999997,1,TUABCOMB-R,TUABEXB-R
2,4filter,TUABCOMBR_test_TUABEXBR_HPO,83.91,16.090000000000003,19022005,TUABCOMB-R,TUABEXB-R
3,4filter,TUABCOMBR_test_TUABEXBR_HPO,84.36,15.64,20110407,TUABCOMB-R,TUABEXB-R
4,4filter,TUABCOMBR_test_TUABEXBR_HPO,84.03,15.969999999999999,20170629,TUABCOMB-R,TUABEXB-R
5,4filter,TUABCOMBR_test_TUABEXBR_HPO,85.04,14.959999999999994,42,TUABCOMB-R,TUABEXB-R
6,4filter,TUABCOMBR_test_TUABEXBR_HPO,84.14,15.86,73,TUABCOMB-R,TUABEXB-R
7,4filter,TUABCOMBR_test_TUABEXBR_HPO,84.36,15.64,5157,TUABCOMB-R,TUABEXB-R
