,modelsize,task_name,accuracy,error,seed,trainset,testset
0,3filter,TUABCOMB_test_TUABR_HPO,85.87,14.129999999999995,0,TUABCOMB-R,TUAB-R
1,3filter,TUABCOMB_test_TUABR_HPO,84.42,15.579999999999998,1,TUABCOMB-R,TUAB-R
2,3filter,TUABCOMB_test_TUABR_HPO,86.59,13.409999999999997,19022005,TUABCOMB-R,TUAB-R
3,3filter,TUABCOMB_test_TUABR_HPO,86.59,13.409999999999997,20110407,TUABCOMB-R,TUAB-R
4,3filter,TUABCOMB_test_TUABR_HPO,85.87,14.129999999999995,20170629,TUABCOMB-R,TUAB-R
5,3filter,TUABCOMB_test_TUABR_HPO,85.87,14.129999999999995,42,TUABCOMB-R,TUAB-R
6,3filter,TUABCOMB_test_TUABR_HPO,85.51,14.489999999999995,73,TUABCOMB-R,TUAB-R
7,3filter,TUABCOMB_test_TUABR_HPO,85.87,14.129999999999995,5157,TUABCOMB-R,TUAB-R
8,3filter,TUABCOMB_test_TUABR_HPO,86.23,13.769999999999996,15011963,TUABCOMB-R,TUAB-R
9,3filter,TUABCOMB_test_TUABR_HPO,84.78,15.219999999999999,682016,TUABCOMB-R,TUAB-R
0,4filter,TUABCOMB_test_TUABR_HPO,85.87,14.129999999999995,0,TUABCOMB-R,TUAB-R
1,4filter,TUABCOMB_test_TUABR_HPO,85.51,14.489999999999995,1,TUABCOMB-R,TUAB-R
2,4filter,TUABCOMB_test_TUABR_HPO,85.51,14.489999999999995,19022005,TUABCOMB-R,TUAB-R
3,4filter,TUABCOMB_test_TUABR_HPO,85.14,14.86,20110407,TUABCOMB-R,TUAB-R
4,4filter,TUABCOMB_test_TUABR_HPO,85.51,14.489999999999995,20170629,TUABCOMB-R,TUAB-R
5,4filter,TUABCOMB_test_TUABR_HPO,85.87,14.129999999999995,42,TUABCOMB-R,TUAB-R
6,4filter,TUABCOMB_test_TUABR_HPO,84.78,15.219999999999999,73,TUABCOMB-R,TUAB-R
7,4filter,TUABCOMB_test_TUABR_HPO,85.51,14.489999999999995,5157,TUABCOMB-R,TUAB-R
8,4filter,TUABCOMB_test_TUABR_HPO,85.14,14.86,15011963,TUABCOMB-R,TUAB-R
9,4filter,TUABCOMB_test_TUABR_HPO,86.96,13.040000000000006,682016,TUABCOMB-R,TUAB-R
0,6filter,TUABCOMB_test_TUABR_HPO,84.78,15.219999999999999,0,TUABCOMB-R,TUAB-R
1,6filter,TUABCOMB_test_TUABR_HPO,85.14,14.86,1,TUABCOMB-R,TUAB-R
2,6filter,TUABCOMB_test_TUABR_HPO,85.14,14.86,19022005,TUABCOMB-R,TUAB-R
3,6filter,TUABCOMB_test_TUABR_HPO,86.23,13.769999999999996,20110407,TUABCOMB-R,TUAB-R
4,6filter,TUABCOMB_test_TUABR_HPO,85.14,14.86,20170629,TUABCOMB-R,TUAB-R
5,6filter,TUABCOMB_test_TUABR_HPO,86.59,13.409999999999997,42,TUABCOMB-R,TUAB-R
6,6filter,TUABCOMB_test_TUABR_HPO,86.59,13.409999999999997,73,TUABCOMB-R,TUAB-R
7,6filter,TUABCOMB_test_TUABR_HPO,85.14,14.86,5157,TUABCOMB-R,TUAB-R
8,6filter,TUABCOMB_test_TUABR_HPO,84.78,15.219999999999999,15011963,TUABCOMB-R,TUAB-R
9,6filter,TUABCOMB_test_TUABR_HPO,85.87,14.129999999999995,682016,TUABCOMB-R,TUAB-R
0,15filter,TUABCOMB_test_TUABR_HPO,86.23,13.769999999999996,0,TUABCOMB-R,TUAB-R
1,15filter,TUABCOMB_test_TUABR_HPO,85.14,14.86,1,TUABCOMB-R,TUAB-R
2,15filter,TUABCOMB_test_TUABR_HPO,84.78,15.219999999999999,19022005,TUABCOMB-R,TUAB-R
3,15filter,TUABCOMB_test_TUABR_HPO,85.14,14.86,20110407,TUABCOMB-R,TUAB-R
4,15filter,TUABCOMB_test_TUABR_HPO,85.14,14.86,20170629,TUABCOMB-R,TUAB-R
5,15filter,TUABCOMB_test_TUABR_HPO,85.14,14.86,42,TUABCOMB-R,TUAB-R
6,15filter,TUABCOMB_test_TUABR_HPO,85.87,14.129999999999995,73,TUABCOMB-R,TUAB-R
