,modelsize,task_name,accuracy,error,seed,trainset,testset
0,3filter,TUABEXBR_test_TUABEXBR_HPO,83.91,16.090000000000003,0,TUABEXB-R,TUABEXB-R
1,3filter,TUABEXBR_test_TUABEXBR_HPO,83.35,16.650000000000006,1,TUABEXB-R,TUABEXB-R
2,3filter,TUABEXBR_test_TUABEXBR_HPO,83.46,16.540000000000006,19022005,TUABEXB-R,TUABEXB-R
3,3filter,TUABEXBR_test_TUABEXBR_HPO,83.46,16.540000000000006,20110407,TUABEXB-R,TUABEXB-R
4,3filter,TUABEXBR_test_TUABEXBR_HPO,83.8,16.200000000000003,20170629,TUABEXB-R,TUABEXB-R
5,3filter,TUABEXBR_test_TUABEXBR_HPO,82.79,17.209999999999994,42,TUABEXB-R,TUABEXB-R
6,3filter,TUABEXBR_test_TUABEXBR_HPO,84.48,15.519999999999996,73,TUABEXB-R,TUABEXB-R
7,3filter,TUABEXBR_test_TUABEXBR_HPO,81.78,18.22,5157,TUABEXB-R,TUABEXB-R
8,3filter,TUABEXBR_test_TUABEXBR_HPO,82.79,17.209999999999994,15011963,TUABEXB-R,TUABEXB-R
9,3filter,TUABEXBR_test_TUABEXBR_HPO,83.46,16.540000000000006,682016,TUABEXB-R,TUABEXB-R
0,4filter,TUABEXBR_test_TUABEXBR_HPO2,84.14,15.86,0,TUABEXB-R,TUABEXB-R
1,4filter,TUABEXBR_test_TUABEXBR_HPO2,85.15,14.849999999999994,1,TUABEXB-R,TUABEXB-R
2,4filter,TUABEXBR_test_TUABEXBR_HPO2,84.7,15.299999999999997,19022005,TUABEXB-R,TUABEXB-R
3,4filter,TUABEXBR_test_TUABEXBR_HPO2,83.91,16.090000000000003,20110407,TUABEXB-R,TUABEXB-R
4,4filter,TUABEXBR_test_TUABEXBR_HPO2,83.46,16.540000000000006,20170629,TUABEXB-R,TUABEXB-R
5,4filter,TUABEXBR_test_TUABEXBR_HPO2,83.46,16.540000000000006,42,TUABEXB-R,TUABEXB-R
6,4filter,TUABEXBR_test_TUABEXBR_HPO2,83.58,16.42,73,TUABEXB-R,TUABEXB-R
7,4filter,TUABEXBR_test_TUABEXBR_HPO2,83.8,16.200000000000003,5157,TUABEXB-R,TUABEXB-R
8,4filter,TUABEXBR_test_TUABEXBR_HPO2,84.93,15.069999999999993,15011963,TUABEXB-R,TUABEXB-R
9,4filter,TUABEXBR_test_TUABEXBR_HPO2,84.03,15.969999999999999,682016,TUABEXB-R,TUABEXB-R
0,6filter,TUABEXBR_test_TUABEXBR_HPO,84.93,15.069999999999993,0,TUABEXB-R,TUABEXB-R
1,6filter,TUABEXBR_test_TUABEXBR_HPO,85.15,14.849999999999994,1,TUABEXB-R,TUABEXB-R
2,6filter,TUABEXBR_test_TUABEXBR_HPO,84.59,15.409999999999997,19022005,TUABEXB-R,TUABEXB-R
3,6filter,TUABEXBR_test_TUABEXBR_HPO,85.04,14.959999999999994,20110407,TUABEXB-R,TUABEXB-R
4,6filter,TUABEXBR_test_TUABEXBR_HPO,85.15,14.849999999999994,20170629,TUABEXB-R,TUABEXB-R
5,6filter,TUABEXBR_test_TUABEXBR_HPO,84.81,15.189999999999998,42,TUABEXB-R,TUABEXB-R
6,6filter,TUABEXBR_test_TUABEXBR_HPO,84.7,15.299999999999997,73,TUABEXB-R,TUABEXB-R
7,6filter,TUABEXBR_test_TUABEXBR_HPO,85.38,14.620000000000005,5157,TUABEXB-R,TUABEXB-R
8,6filter,TUABEXBR_test_TUABEXBR_HPO,84.59,15.409999999999997,15011963,TUABEXB-R,TUABEXB-R
9,6filter,TUABEXBR_test_TUABEXBR_HPO,84.59,15.409999999999997,682016,TUABEXB-R,TUABEXB-R
0,15filter,TUABEXBR_test_TUABEXBR_HPO,85.83,14.170000000000002,0,TUABEXB-R,TUABEXB-R
1,15filter,TUABEXBR_test_TUABEXBR_HPO,84.81,15.189999999999998,1,TUABEXB-R,TUABEXB-R
2,15filter,TUABEXBR_test_TUABEXBR_HPO,86.16,13.840000000000003,19022005,TUABEXB-R,TUABEXB-R
3,15filter,TUABEXBR_test_TUABEXBR_HPO,85.15,14.849999999999994,20110407,TUABEXB-R,TUABEXB-R
4,15filter,TUABEXBR_test_TUABEXBR_HPO,85.71,14.290000000000006,20170629,TUABEXB-R,TUABEXB-R
5,15filter,TUABEXBR_test_TUABEXBR_HPO,85.49,14.510000000000005,42,TUABEXB-R,TUABEXB-R
6,15filter,TUABEXBR_test_TUABEXBR_HPO,85.15,14.849999999999994,73,TUABEXB-R,TUABEXB-R
7,15filter,TUABEXBR_test_TUABEXBR_HPO,85.15,14.849999999999994,5157,TUABEXB-R,TUABEXB-R
8,15filter,TUABEXBR_test_TUABEXBR_HPO,84.25,15.75,15011963,TUABEXB-R,TUABEXB-R
9,15filter,TUABEXBR_test_TUABEXBR_HPO,85.38,14.620000000000005,682016,TUABEXB-R,TUABEXB-R
0,27filter,TUABEXBR_test_TUABEXBR_HPO,85.15,14.849999999999994,0,TUABEXB-R,TUABEXB-R
1,27filter,TUABEXBR_test_TUABEXBR_HPO,85.15,14.849999999999994,1,TUABEXB-R,TUABEXB-R
2,27filter,TUABEXBR_test_TUABEXBR_HPO,85.04,14.959999999999994,19022005,TUABEXB-R,TUABEXB-R
3,27filter,TUABEXBR_test_TUABEXBR_HPO,85.15,14.849999999999994,20110407,TUABEXB-R,TUABEXB-R
4,27filter,TUABEXBR_test_TUABEXBR_HPO,84.81,15.189999999999998,20170629,TUABEXB-R,TUABEXB-R
5,27filter,TUABEXBR_test_TUABEXBR_HPO,84.93,15.069999999999993,42,TUABEXB-R,TUABEXB-R
