,modelsize,task_name,accuracy,error,seed,trainset,testset
0,3filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,0,TUAB-R,TUAB-R
1,3filter,TUABR_test_TUABR_HPO,85.14,14.86,1,TUAB-R,TUAB-R
2,3filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,19022005,TUAB-R,TUAB-R
3,3filter,TUABR_test_TUABR_HPO,85.14,14.86,20110407,TUAB-R,TUAB-R
4,3filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,20170629,TUAB-R,TUAB-R
5,3filter,TUABR_test_TUABR_HPO,84.78,15.219999999999999,42,TUAB-R,TUAB-R
6,3filter,TUABR_test_TUABR_HPO,85.14,14.86,73,TUAB-R,TUAB-R
7,3filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,5157,TUAB-R,TUAB-R
8,3filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,15011963,TUAB-R,TUAB-R
9,3filter,TUABR_test_TUABR_HPO,84.78,15.219999999999999,682016,TUAB-R,TUAB-R
0,4filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,0,TUAB-R,TUAB-R
1,4filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,1,TUAB-R,TUAB-R
2,4filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,19022005,TUAB-R,TUAB-R
3,4filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,20110407,TUAB-R,TUAB-R
4,4filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,20170629,TUAB-R,TUAB-R
5,4filter,TUABR_test_TUABR_HPO,84.78,15.219999999999999,42,TUAB-R,TUAB-R
6,4filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,73,TUAB-R,TUAB-R
7,4filter,TUABR_test_TUABR_HPO,85.14,14.86,5157,TUAB-R,TUAB-R
8,4filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,15011963,TUAB-R,TUAB-R
9,4filter,TUABR_test_TUABR_HPO,84.78,15.219999999999999,682016,TUAB-R,TUAB-R
0,6filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,0,TUAB-R,TUAB-R
1,6filter,TUABR_test_TUABR_HPO,85.51,14.489999999999995,1,TUAB-R,TUAB-R
2,6filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,19022005,TUAB-R,TUAB-R
3,6filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,20110407,TUAB-R,TUAB-R
4,6filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,20170629,TUAB-R,TUAB-R
5,6filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,42,TUAB-R,TUAB-R
6,6filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,73,TUAB-R,TUAB-R
7,6filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,5157,TUAB-R,TUAB-R
8,6filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,15011963,TUAB-R,TUAB-R
9,6filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,682016,TUAB-R,TUAB-R
0,15filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,0,TUAB-R,TUAB-R
1,15filter,TUABR_test_TUABR_HPO,86.59,13.409999999999997,1,TUAB-R,TUAB-R
2,15filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,19022005,TUAB-R,TUAB-R
3,15filter,TUABR_test_TUABR_HPO,86.23,13.769999999999996,20110407,TUAB-R,TUAB-R
4,15filter,TUABR_test_TUABR_HPO,85.87,14.129999999999995,20170629,TUAB-R,TUAB-R
