,modelsize,task_name,accuracy,error,seed,trainset,testset
0,0.25fach,,81.88,18.120000000000005,0,TUABCOMB-R,TUAB-R
1,0.25fach,,81.52,18.480000000000004,1,TUABCOMB-R,TUAB-R
2,0.25fach,,80.8,19.200000000000003,19022005,TUABCOMB-R,TUAB-R
3,0.25fach,,81.88,18.120000000000005,20110407,TUABCOMB-R,TUAB-R
4,0.25fach,,84.78,15.219999999999999,20170629,TUABCOMB-R,TUAB-R
5,0.25fach,,81.88,18.120000000000005,42,TUABCOMB-R,TUAB-R
6,0.25fach,,83.33,16.67,73,TUABCOMB-R,TUAB-R
7,0.25fach,,84.78,15.219999999999999,5157,TUABCOMB-R,TUAB-R
8,0.25fach,,83.33,16.67,15011963,TUABCOMB-R,TUAB-R
9,0.25fach,,82.25,17.75,682016,TUABCOMB-R,TUAB-R
0,0.5fach,,84.78,15.219999999999999,0,TUABCOMB-R,TUAB-R
1,0.5fach,,82.97,17.03,1,TUABCOMB-R,TUAB-R
2,0.5fach,,84.78,15.219999999999999,19022005,TUABCOMB-R,TUAB-R
3,0.5fach,,84.42,15.579999999999998,20110407,TUABCOMB-R,TUAB-R
4,0.5fach,,84.06,15.939999999999998,20170629,TUABCOMB-R,TUAB-R
5,0.5fach,,83.7,16.299999999999997,42,TUABCOMB-R,TUAB-R
6,0.5fach,,84.06,15.939999999999998,73,TUABCOMB-R,TUAB-R
7,0.5fach,,84.78,15.219999999999999,5157,TUABCOMB-R,TUAB-R
8,0.5fach,,83.7,16.299999999999997,15011963,TUABCOMB-R,TUAB-R
9,0.5fach,,80.8,19.200000000000003,682016,TUABCOMB-R,TUAB-R
0,1fach,CombinedV3_test_TUAB_all,84.42,15.579999999999998,0,TUABCOMB-R,TUAB-R
1,1fach,CombinedV3_test_TUAB_all,82.61,17.39,1,TUABCOMB-R,TUAB-R
2,1fach,CombinedV3_test_TUAB_all,81.88,18.120000000000005,19022005,TUABCOMB-R,TUAB-R
3,1fach,CombinedV3_test_TUAB_all,83.7,16.299999999999997,20110407,TUABCOMB-R,TUAB-R
4,1fach,CombinedV3_test_TUAB_all,86.23,13.769999999999996,20170629,TUABCOMB-R,TUAB-R
5,1fach,CombinedV3_test_TUAB_all,82.25,17.75,42,TUABCOMB-R,TUAB-R
6,1fach,CombinedV3_test_TUAB_all,82.97,17.03,73,TUABCOMB-R,TUAB-R
7,1fach,CombinedV3_test_TUAB_all,84.78,15.219999999999999,5157,TUABCOMB-R,TUAB-R
8,1fach,CombinedV3_test_TUAB_all,84.78,15.219999999999999,15011963,TUABCOMB-R,TUAB-R
9,1fach,CombinedV3_test_TUAB_all,84.42,15.579999999999998,682016,TUABCOMB-R,TUAB-R
0,2fach,,84.42,15.579999999999998,0,TUABCOMB-R,TUAB-R
1,2fach,,82.25,17.75,1,TUABCOMB-R,TUAB-R
2,2fach,,85.51,14.489999999999995,19022005,TUABCOMB-R,TUAB-R
3,2fach,,84.06,15.939999999999998,20110407,TUABCOMB-R,TUAB-R
4,2fach,,85.51,14.489999999999995,20170629,TUABCOMB-R,TUAB-R
5,2fach,,86.96,13.040000000000006,42,TUABCOMB-R,TUAB-R
6,2fach,,82.97,17.03,73,TUABCOMB-R,TUAB-R
7,2fach,,85.14,14.86,5157,TUABCOMB-R,TUAB-R
8,2fach,,82.97,17.03,15011963,TUABCOMB-R,TUAB-R
9,2fach,,85.87,14.129999999999995,682016,TUABCOMB-R,TUAB-R
0,4fach,,84.42,15.579999999999998,0,TUABCOMB-R,TUAB-R
1,4fach,,84.06,15.939999999999998,1,TUABCOMB-R,TUAB-R
2,4fach,,83.7,16.299999999999997,19022005,TUABCOMB-R,TUAB-R
3,4fach,,84.78,15.219999999999999,20110407,TUABCOMB-R,TUAB-R
4,4fach,,85.51,14.489999999999995,20170629,TUABCOMB-R,TUAB-R
5,4fach,,82.97,17.03,42,TUABCOMB-R,TUAB-R
6,4fach,,84.78,15.219999999999999,73,TUABCOMB-R,TUAB-R
7,4fach,,84.42,15.579999999999998,5157,TUABCOMB-R,TUAB-R
8,4fach,,84.42,15.579999999999998,15011963,TUABCOMB-R,TUAB-R
9,4fach,,85.14,14.86,682016,TUABCOMB-R,TUAB-R
