,modelsize,task_name,accuracy,error,seed,trainset,testset
0,0.25fach,TUABCOMBR_test_TUABEXBR,81.66,18.340000000000003,0,TUABCOMB-R,TUABEXB-R
1,0.25fach,TUABCOMBR_test_TUABEXBR,82.23,17.769999999999996,1,TUABCOMB-R,TUABEXB-R
2,0.25fach,TUABCOMBR_test_TUABEXBR,79.75,20.25,19022005,TUABCOMB-R,TUABEXB-R
3,0.25fach,TUABCOMBR_test_TUABEXBR,81.44,18.560000000000002,20110407,TUABCOMB-R,TUABEXB-R
4,0.25fach,TUABCOMBR_test_TUABEXBR,81.66,18.340000000000003,20170629,TUABCOMB-R,TUABEXB-R
5,0.25fach,TUABCOMBR_test_TUABEXBR,80.31,19.689999999999998,42,TUABCOMB-R,TUABEXB-R
6,0.25fach,TUABCOMBR_test_TUABEXBR,82.0,18.0,73,TUABCOMB-R,TUABEXB-R
7,0.25fach,TUABCOMBR_test_TUABEXBR,82.23,17.769999999999996,5157,TUABCOMB-R,TUABEXB-R
8,0.25fach,TUABCOMBR_test_TUABEXBR,82.11,17.89,15011963,TUABCOMB-R,TUABEXB-R
9,0.25fach,TUABCOMBR_test_TUABEXBR,80.65,19.349999999999994,682016,TUABCOMB-R,TUABEXB-R
0,0.5fach,TUABCOMBR_test_TUABEXBR,83.01,16.989999999999995,0,TUABCOMB-R,TUABEXB-R
1,0.5fach,TUABCOMBR_test_TUABEXBR,82.68,17.319999999999993,1,TUABCOMB-R,TUABEXB-R
2,0.5fach,TUABCOMBR_test_TUABEXBR,82.56,17.439999999999998,19022005,TUABCOMB-R,TUABEXB-R
3,0.5fach,TUABCOMBR_test_TUABEXBR,82.34,17.659999999999997,20110407,TUABCOMB-R,TUABEXB-R
4,0.5fach,TUABCOMBR_test_TUABEXBR,82.11,17.89,20170629,TUABCOMB-R,TUABEXB-R
5,0.5fach,TUABCOMBR_test_TUABEXBR,83.35,16.650000000000006,42,TUABCOMB-R,TUABEXB-R
6,0.5fach,TUABCOMBR_test_TUABEXBR,83.58,16.42,73,TUABCOMB-R,TUABEXB-R
7,0.5fach,TUABCOMBR_test_TUABEXBR,82.23,17.769999999999996,5157,TUABCOMB-R,TUABEXB-R
8,0.5fach,TUABCOMBR_test_TUABEXBR,83.13,16.870000000000005,15011963,TUABCOMB-R,TUABEXB-R
9,0.5fach,TUABCOMBR_test_TUABEXBR,80.2,19.799999999999997,682016,TUABCOMB-R,TUABEXB-R
0,1fach,,82.9,17.099999999999994,0,TUABCOMB-R,TUABEXB-R
1,1fach,,82.45,17.549999999999997,1,TUABCOMB-R,TUABEXB-R
2,1fach,,82.45,17.549999999999997,19022005,TUABCOMB-R,TUABEXB-R
3,1fach,,82.11,17.89,20110407,TUABCOMB-R,TUABEXB-R
4,1fach,,82.9,17.099999999999994,20170629,TUABCOMB-R,TUABEXB-R
5,1fach,,83.24,16.760000000000005,42,TUABCOMB-R,TUABEXB-R
6,1fach,,82.56,17.439999999999998,73,TUABCOMB-R,TUABEXB-R
7,1fach,,82.34,17.659999999999997,5157,TUABCOMB-R,TUABEXB-R
8,1fach,,82.34,17.659999999999997,15011963,TUABCOMB-R,TUABEXB-R
9,1fach,,83.24,16.760000000000005,682016,TUABCOMB-R,TUABEXB-R
0,2fach,TUABCOMBR_test_TUABEXBR,82.9,17.099999999999994,0,TUABCOMB-R,TUABEXB-R
1,2fach,TUABCOMBR_test_TUABEXBR,82.45,17.549999999999997,1,TUABCOMB-R,TUABEXB-R
2,2fach,TUABCOMBR_test_TUABEXBR,83.58,16.42,19022005,TUABCOMB-R,TUABEXB-R
3,2fach,TUABCOMBR_test_TUABEXBR,82.34,17.659999999999997,20110407,TUABCOMB-R,TUABEXB-R
4,2fach,TUABCOMBR_test_TUABEXBR,82.34,17.659999999999997,20170629,TUABCOMB-R,TUABEXB-R
5,2fach,TUABCOMBR_test_TUABEXBR,82.9,17.099999999999994,42,TUABCOMB-R,TUABEXB-R
6,2fach,TUABCOMBR_test_TUABEXBR,82.79,17.209999999999994,73,TUABCOMB-R,TUABEXB-R
7,2fach,TUABCOMBR_test_TUABEXBR,83.24,16.760000000000005,5157,TUABCOMB-R,TUABEXB-R
8,2fach,TUABCOMBR_test_TUABEXBR,83.69,16.310000000000002,15011963,TUABCOMB-R,TUABEXB-R
9,2fach,TUABCOMBR_test_TUABEXBR,84.03,15.969999999999999,682016,TUABCOMB-R,TUABEXB-R
0,4fach,TUABCOMBR_test_TUABEXBR,84.25,15.75,0,TUABCOMB-R,TUABEXB-R
1,4fach,TUABCOMBR_test_TUABEXBR,83.13,16.870000000000005,1,TUABCOMB-R,TUABEXB-R
2,4fach,TUABCOMBR_test_TUABEXBR,82.79,17.209999999999994,19022005,TUABCOMB-R,TUABEXB-R
3,4fach,TUABCOMBR_test_TUABEXBR,84.7,15.299999999999997,20110407,TUABCOMB-R,TUABEXB-R
4,4fach,TUABCOMBR_test_TUABEXBR,83.13,16.870000000000005,20170629,TUABCOMB-R,TUABEXB-R
5,4fach,TUABCOMBR_test_TUABEXBR,83.91,16.090000000000003,42,TUABCOMB-R,TUABEXB-R
6,4fach,TUABCOMBR_test_TUABEXBR,83.58,16.42,73,TUABCOMB-R,TUABEXB-R
7,4fach,TUABCOMBR_test_TUABEXBR,82.9,17.099999999999994,5157,TUABCOMB-R,TUABEXB-R
8,4fach,TUABCOMBR_test_TUABEXBR,83.69,16.310000000000002,15011963,TUABCOMB-R,TUABEXB-R
9,4fach,TUABCOMBR_test_TUABEXBR,84.36,15.64,682016,TUABCOMB-R,TUABEXB-R
