,modelsize,task_name,accuracy,error,seed,trainset,testset
0,0.25fach,TUABEXBR_test_TUABEXBR,78.18,21.819999999999993,0,TUABEXB-R,TUABEXB-R
1,0.25fach,TUABEXBR_test_TUABEXBR,81.33,18.67,1,TUABEXB-R,TUABEXB-R
2,0.25fach,TUABEXBR_test_TUABEXBR,78.18,21.819999999999993,19022005,TUABEXB-R,TUABEXB-R
3,0.25fach,TUABEXBR_test_TUABEXBR,82.56,17.439999999999998,20110407,TUABEXB-R,TUABEXB-R
4,0.25fach,TUABEXBR_test_TUABEXBR,79.3,20.700000000000003,20170629,TUABEXB-R,TUABEXB-R
5,0.25fach,TUABEXBR_test_TUABEXBR,78.07,21.930000000000007,42,TUABEXB-R,TUABEXB-R
6,0.25fach,TUABEXBR_test_TUABEXBR,81.1,18.900000000000006,73,TUABEXB-R,TUABEXB-R
7,0.25fach,TUABEXBR_test_TUABEXBR,80.99,19.010000000000005,5157,TUABEXB-R,TUABEXB-R
8,0.25fach,TUABEXBR_test_TUABEXBR,80.88,19.120000000000005,15011963,TUABEXB-R,TUABEXB-R
9,0.25fach,TUABEXBR_test_TUABEXBR,80.09,19.909999999999997,682016,TUABEXB-R,TUABEXB-R
0,0.5fach,TUABEXBR_test_TUABEXBR,83.13,16.870000000000005,0,TUABEXB-R,TUABEXB-R
1,0.5fach,TUABEXBR_test_TUABEXBR,80.88,19.120000000000005,1,TUABEXB-R,TUABEXB-R
2,0.5fach,TUABEXBR_test_TUABEXBR,80.2,19.799999999999997,19022005,TUABEXB-R,TUABEXB-R
3,0.5fach,TUABEXBR_test_TUABEXBR,82.0,18.0,20110407,TUABEXB-R,TUABEXB-R
4,0.5fach,TUABEXBR_test_TUABEXBR,79.19,20.810000000000002,20170629,TUABEXB-R,TUABEXB-R
5,0.5fach,TUABEXBR_test_TUABEXBR,80.54,19.459999999999994,42,TUABEXB-R,TUABEXB-R
6,0.5fach,TUABEXBR_test_TUABEXBR,81.78,18.22,73,TUABEXB-R,TUABEXB-R
7,0.5fach,TUABEXBR_test_TUABEXBR,81.44,18.560000000000002,5157,TUABEXB-R,TUABEXB-R
8,0.5fach,TUABEXBR_test_TUABEXBR,82.56,17.439999999999998,15011963,TUABEXB-R,TUABEXB-R
9,0.5fach,TUABEXBR_test_TUABEXBR,81.55,18.450000000000003,682016,TUABEXB-R,TUABEXB-R
0,1fach,,80.65,19.349999999999994,0,TUABEXB-R,TUABEXB-R
1,1fach,,82.68,17.319999999999993,1,TUABEXB-R,TUABEXB-R
2,1fach,,82.0,18.0,19022005,TUABEXB-R,TUABEXB-R
3,1fach,,83.58,16.42,20110407,TUABEXB-R,TUABEXB-R
4,1fach,,81.78,18.22,20170629,TUABEXB-R,TUABEXB-R
5,1fach,,83.69,16.310000000000002,42,TUABEXB-R,TUABEXB-R
6,1fach,,82.56,17.439999999999998,73,TUABEXB-R,TUABEXB-R
7,1fach,,82.23,17.769999999999996,5157,TUABEXB-R,TUABEXB-R
8,1fach,,82.56,17.439999999999998,15011963,TUABEXB-R,TUABEXB-R
9,1fach,,82.11,17.89,682016,TUABEXB-R,TUABEXB-R
0,2fach,TUABEXBR_test_TUABEXBR,82.34,17.659999999999997,0,TUABEXB-R,TUABEXB-R
1,2fach,TUABEXBR_test_TUABEXBR,82.79,17.209999999999994,1,TUABEXB-R,TUABEXB-R
2,2fach,TUABEXBR_test_TUABEXBR,81.33,18.67,19022005,TUABEXB-R,TUABEXB-R
3,2fach,TUABEXBR_test_TUABEXBR,82.23,17.769999999999996,20110407,TUABEXB-R,TUABEXB-R
4,2fach,TUABEXBR_test_TUABEXBR,83.58,16.42,20170629,TUABEXB-R,TUABEXB-R
5,2fach,TUABEXBR_test_TUABEXBR,81.89,18.11,42,TUABEXB-R,TUABEXB-R
6,2fach,TUABEXBR_test_TUABEXBR,81.33,18.67,73,TUABEXB-R,TUABEXB-R
7,2fach,TUABEXBR_test_TUABEXBR,82.45,17.549999999999997,5157,TUABEXB-R,TUABEXB-R
8,2fach,TUABEXBR_test_TUABEXBR,83.01,16.989999999999995,15011963,TUABEXB-R,TUABEXB-R
9,2fach,TUABEXBR_test_TUABEXBR,83.13,16.870000000000005,682016,TUABEXB-R,TUABEXB-R
0,4fach,TUABEXBR_test_TUABEXBR,82.68,17.319999999999993,0,TUABEXB-R,TUABEXB-R
1,4fach,TUABEXBR_test_TUABEXBR,82.79,17.209999999999994,1,TUABEXB-R,TUABEXB-R
2,4fach,TUABEXBR_test_TUABEXBR,79.42,20.58,19022005,TUABEXB-R,TUABEXB-R
3,4fach,TUABEXBR_test_TUABEXBR,83.35,16.650000000000006,20110407,TUABEXB-R,TUABEXB-R
4,4fach,TUABEXBR_test_TUABEXBR,81.89,18.11,20170629,TUABEXB-R,TUABEXB-R
5,4fach,TUABEXBR_test_TUABEXBR,83.58,16.42,42,TUABEXB-R,TUABEXB-R
6,4fach,TUABEXBR_test_TUABEXBR,82.56,17.439999999999998,73,TUABEXB-R,TUABEXB-R
7,4fach,TUABEXBR_test_TUABEXBR,84.25,15.75,5157,TUABEXB-R,TUABEXB-R
8,4fach,TUABEXBR_test_TUABEXBR,82.56,17.439999999999998,15011963,TUABEXB-R,TUABEXB-R
9,4fach,TUABEXBR_test_TUABEXBR,83.24,16.760000000000005,682016,TUABEXB-R,TUABEXB-R
