,modelsize,task_name,accuracy,error,seed,trainset,testset
0,0.25fach,TUABEXBR_test_TUABEXBR,84.59,15.409999999999997,0,TUABEXB-R,TUABEXB-R
1,0.25fach,TUABEXBR_test_TUABEXBR,84.59,15.409999999999997,1,TUABEXB-R,TUABEXB-R
2,0.25fach,TUABEXBR_test_TUABEXBR,84.7,15.299999999999997,19022005,TUABEXB-R,TUABEXB-R
3,0.25fach,TUABEXBR_test_TUABEXBR,84.7,15.299999999999997,20110407,TUABEXB-R,TUABEXB-R
4,0.25fach,TUABEXBR_test_TUABEXBR,84.36,15.64,20170629,TUABEXB-R,TUABEXB-R
5,0.25fach,TUABEXBR_test_TUABEXBR,83.8,16.200000000000003,42,TUABEXB-R,TUABEXB-R
6,0.25fach,TUABEXBR_test_TUABEXBR,84.48,15.519999999999996,73,TUABEXB-R,TUABEXB-R
7,0.25fach,TUABEXBR_test_TUABEXBR,84.03,15.969999999999999,5157,TUABEXB-R,TUABEXB-R
8,0.25fach,TUABEXBR_test_TUABEXBR,83.46,16.540000000000006,15011963,TUABEXB-R,TUABEXB-R
9,0.25fach,TUABEXBR_test_TUABEXBR,84.14,15.86,682016,TUABEXB-R,TUABEXB-R
0,0.5fach,TUABEXBR_test_TUABEXBR,85.15,14.849999999999994,0,TUABEXB-R,TUABEXB-R
1,0.5fach,TUABEXBR_test_TUABEXBR,84.93,15.069999999999993,1,TUABEXB-R,TUABEXB-R
2,0.5fach,TUABEXBR_test_TUABEXBR,84.25,15.75,19022005,TUABEXB-R,TUABEXB-R
3,0.5fach,TUABEXBR_test_TUABEXBR,83.91,16.090000000000003,20110407,TUABEXB-R,TUABEXB-R
4,0.5fach,TUABEXBR_test_TUABEXBR,84.14,15.86,20170629,TUABEXB-R,TUABEXB-R
5,0.5fach,TUABEXBR_test_TUABEXBR,82.45,17.549999999999997,42,TUABEXB-R,TUABEXB-R
6,0.5fach,TUABEXBR_test_TUABEXBR,84.25,15.75,73,TUABEXB-R,TUABEXB-R
7,0.5fach,TUABEXBR_test_TUABEXBR,84.81,15.189999999999998,5157,TUABEXB-R,TUABEXB-R
8,0.5fach,TUABEXBR_test_TUABEXBR,84.81,15.189999999999998,15011963,TUABEXB-R,TUABEXB-R
9,0.5fach,TUABEXBR_test_TUABEXBR,84.14,15.86,682016,TUABEXB-R,TUABEXB-R
0,1fach,,84.93,15.069999999999993,0,TUABEXB-R,TUABEXB-R
1,1fach,,84.25,15.75,1,TUABEXB-R,TUABEXB-R
2,1fach,,84.59,15.409999999999997,19022005,TUABEXB-R,TUABEXB-R
3,1fach,,83.58,16.42,20110407,TUABEXB-R,TUABEXB-R
4,1fach,,84.7,15.299999999999997,20170629,TUABEXB-R,TUABEXB-R
5,1fach,,85.26,14.739999999999995,42,TUABEXB-R,TUABEXB-R
6,1fach,,85.38,14.620000000000005,73,TUABEXB-R,TUABEXB-R
7,1fach,,84.7,15.299999999999997,5157,TUABEXB-R,TUABEXB-R
8,1fach,,82.68,17.319999999999993,15011963,TUABEXB-R,TUABEXB-R
9,1fach,,84.59,15.409999999999997,682016,TUABEXB-R,TUABEXB-R
0,2fach,TUABEXBR_test_TUABEXBR,84.7,15.299999999999997,0,TUABEXB-R,TUABEXB-R
1,2fach,TUABEXBR_test_TUABEXBR,84.36,15.64,1,TUABEXB-R,TUABEXB-R
2,2fach,TUABEXBR_test_TUABEXBR,85.83,14.170000000000002,19022005,TUABEXB-R,TUABEXB-R
3,2fach,TUABEXBR_test_TUABEXBR,84.93,15.069999999999993,20110407,TUABEXB-R,TUABEXB-R
4,2fach,TUABEXBR_test_TUABEXBR,85.38,14.620000000000005,20170629,TUABEXB-R,TUABEXB-R
5,2fach,TUABEXBR_test_TUABEXBR,85.26,14.739999999999995,42,TUABEXB-R,TUABEXB-R
6,2fach,TUABEXBR_test_TUABEXBR,83.8,16.200000000000003,73,TUABEXB-R,TUABEXB-R
7,2fach,TUABEXBR_test_TUABEXBR,84.7,15.299999999999997,5157,TUABEXB-R,TUABEXB-R
8,2fach,TUABEXBR_test_TUABEXBR,85.04,14.959999999999994,15011963,TUABEXB-R,TUABEXB-R
9,2fach,TUABEXBR_test_TUABEXBR,85.26,14.739999999999995,682016,TUABEXB-R,TUABEXB-R
0,4fach,TUABEXBR_test_TUABEXBR,84.93,15.069999999999993,0,TUABEXB-R,TUABEXB-R
1,4fach,TUABEXBR_test_TUABEXBR,83.69,16.310000000000002,1,TUABEXB-R,TUABEXB-R
2,4fach,TUABEXBR_test_TUABEXBR,85.04,14.959999999999994,19022005,TUABEXB-R,TUABEXB-R
3,4fach,TUABEXBR_test_TUABEXBR,82.34,17.659999999999997,20110407,TUABEXB-R,TUABEXB-R
4,4fach,TUABEXBR_test_TUABEXBR,84.36,15.64,20170629,TUABEXB-R,TUABEXB-R
5,4fach,TUABEXBR_test_TUABEXBR,84.93,15.069999999999993,42,TUABEXB-R,TUABEXB-R
6,4fach,TUABEXBR_test_TUABEXBR,84.03,15.969999999999999,73,TUABEXB-R,TUABEXB-R
7,4fach,TUABEXBR_test_TUABEXBR,85.15,14.849999999999994,5157,TUABEXB-R,TUABEXB-R
8,4fach,TUABEXBR_test_TUABEXBR,84.48,15.519999999999996,15011963,TUABEXB-R,TUABEXB-R
9,4fach,TUABEXBR_test_TUABEXBR,84.36,15.64,682016,TUABEXB-R,TUABEXB-R
