,modelsize,task_name,accuracy,error,seed,trainset,testset
0,0.25fach,TUAB_test_TUAB,86.59,13.409999999999997,0,TUAB-R,TUAB-R
1,0.25fach,TUAB_test_TUAB,85.87,14.129999999999995,1,TUAB-R,TUAB-R
2,0.25fach,TUAB_test_TUAB,86.96,13.040000000000006,19022005,TUAB-R,TUAB-R
3,0.25fach,TUAB_test_TUAB,86.23,13.769999999999996,20110407,TUAB-R,TUAB-R
4,0.25fach,TUAB_test_TUAB,86.59,13.409999999999997,20170629,TUAB-R,TUAB-R
5,0.25fach,TUAB_test_TUAB,85.87,14.129999999999995,42,TUAB-R,TUAB-R
6,0.25fach,TUAB_test_TUAB,86.59,13.409999999999997,73,TUAB-R,TUAB-R
7,0.25fach,TUAB_test_TUAB,87.32,12.680000000000007,5157,TUAB-R,TUAB-R
8,0.25fach,TUAB_test_TUAB,86.23,13.769999999999996,15011963,TUAB-R,TUAB-R
9,0.25fach,TUAB_test_TUAB,86.23,13.769999999999996,682016,TUAB-R,TUAB-R
0,0.5fach,TUAB_test_TUAB,86.96,13.040000000000006,0,TUAB-R,TUAB-R
1,0.5fach,TUAB_test_TUAB,84.78,15.219999999999999,1,TUAB-R,TUAB-R
2,0.5fach,TUAB_test_TUAB,85.14,14.86,19022005,TUAB-R,TUAB-R
3,0.5fach,TUAB_test_TUAB,86.23,13.769999999999996,20110407,TUAB-R,TUAB-R
4,0.5fach,TUAB_test_TUAB,87.32,12.680000000000007,20170629,TUAB-R,TUAB-R
5,0.5fach,TUAB_test_TUAB,85.14,14.86,42,TUAB-R,TUAB-R
6,0.5fach,TUAB_test_TUAB,86.23,13.769999999999996,73,TUAB-R,TUAB-R
7,0.5fach,TUAB_test_TUAB,86.59,13.409999999999997,5157,TUAB-R,TUAB-R
8,0.5fach,TUAB_test_TUAB,85.87,14.129999999999995,15011963,TUAB-R,TUAB-R
9,0.5fach,TUAB_test_TUAB,85.51,14.489999999999995,682016,TUAB-R,TUAB-R
0,1fach,TUAB_saturation_all,85.51,14.489999999999995,0,TUAB-R,TUAB-R
1,1fach,TUAB_saturation_all,85.87,14.129999999999995,1,TUAB-R,TUAB-R
2,1fach,TUAB_saturation_all,85.87,14.129999999999995,19022005,TUAB-R,TUAB-R
3,1fach,TUAB_saturation_all,86.23,13.769999999999996,20110407,TUAB-R,TUAB-R
4,1fach,TUAB_saturation_all,86.23,13.769999999999996,20170629,TUAB-R,TUAB-R
5,1fach,TUAB_saturation_all,85.14,14.86,42,TUAB-R,TUAB-R
6,1fach,TUAB_saturation_all,86.23,13.769999999999996,73,TUAB-R,TUAB-R
7,1fach,TUAB_saturation_all,85.14,14.86,5157,TUAB-R,TUAB-R
8,1fach,TUAB_saturation_all,85.87,14.129999999999995,15011963,TUAB-R,TUAB-R
9,1fach,TUAB_saturation_all,85.14,14.86,682016,TUAB-R,TUAB-R
0,2fach,TUAB_test_TUAB,86.59,13.409999999999997,0,TUAB-R,TUAB-R
1,2fach,TUAB_test_TUAB,85.87,14.129999999999995,1,TUAB-R,TUAB-R
2,2fach,TUAB_test_TUAB,85.87,14.129999999999995,19022005,TUAB-R,TUAB-R
3,2fach,TUAB_test_TUAB,86.23,13.769999999999996,20110407,TUAB-R,TUAB-R
4,2fach,TUAB_test_TUAB,86.23,13.769999999999996,20170629,TUAB-R,TUAB-R
5,2fach,TUAB_test_TUAB,84.78,15.219999999999999,42,TUAB-R,TUAB-R
6,2fach,TUAB_test_TUAB,85.87,14.129999999999995,73,TUAB-R,TUAB-R
7,2fach,TUAB_test_TUAB,84.42,15.579999999999998,5157,TUAB-R,TUAB-R
8,2fach,TUAB_test_TUAB,85.51,14.489999999999995,15011963,TUAB-R,TUAB-R
9,2fach,TUAB_test_TUAB,85.87,14.129999999999995,682016,TUAB-R,TUAB-R
0,4fach,TUAB_test_TUAB,85.51,14.489999999999995,0,TUAB-R,TUAB-R
1,4fach,TUAB_test_TUAB,86.59,13.409999999999997,1,TUAB-R,TUAB-R
2,4fach,TUAB_test_TUAB,84.06,15.939999999999998,19022005,TUAB-R,TUAB-R
3,4fach,TUAB_test_TUAB,86.23,13.769999999999996,20110407,TUAB-R,TUAB-R
4,4fach,TUAB_test_TUAB,85.51,14.489999999999995,20170629,TUAB-R,TUAB-R
5,4fach,TUAB_test_TUAB,84.78,15.219999999999999,42,TUAB-R,TUAB-R
6,4fach,TUAB_test_TUAB,84.78,15.219999999999999,73,TUAB-R,TUAB-R
7,4fach,TUAB_test_TUAB,85.87,14.129999999999995,5157,TUAB-R,TUAB-R
8,4fach,TUAB_test_TUAB,85.87,14.129999999999995,15011963,TUAB-R,TUAB-R
9,4fach,TUAB_test_TUAB,84.78,15.219999999999999,682016,TUAB-R,TUAB-R
